corruption,est,v4_flat,v3_flat
B,plain,0.02173494990207576,0.027651023028453313
B,nugget,0.025480162926008083,0.024810588689771377
B,pca,0.021734949902076008,0.027651023028453327
B,diffusion_t4,0.02158835549442423,0.03145518969533533
B,diffusion_t8,0.00338264858820273,0.03119952837874783
B,heatgeo_t2,3.633645583434668,1.6388346964740785e-05
B,heatgeo_t8,9.248968982478353,0.0
C05,plain,0.05366467685792982,0.02603753075767744
C05,nugget,0.08424946926069099,0.030065558336913933
C05,pca,0.02579478273690187,0.02386952003576389
C05,diffusion_t4,0.008440079350467915,0.04804455454314756
C05,diffusion_t8,0.0003641673751398523,0.04433562559333998
C05,heatgeo_t2,4.355622780407979,2.3183364246566474e-06
C05,heatgeo_t8,10.748775195781336,0.0
C17,plain,0.09746099303379915,0.02199639399996027
C17,nugget,0.11342391735250308,0.03969476593287674
C17,pca,0.05981727486928233,0.013895809234505141
C17,diffusion_t4,0.0586320409391249,0.04297786281473706
C17,diffusion_t8,0.004310979713354274,0.04094180759593088
C17,heatgeo_t2,4.854842139988033,2.832101466294923e-07
C17,heatgeo_t8,11.985374642647097,0.0
D,plain,0.3810060003018616,0.05964533314323517
D,nugget,0.31280669767944236,0.02313022564971752
D,pca,0.11005703469369016,0.06949717285337942
D,diffusion_t4,6.2551434520101315e-06,0.01384182003935
D,diffusion_t8,8.708590766076406e-12,0.0013199657179592925
D,heatgeo_t2,11.567303030338099,0.0
D,heatgeo_t8,13.671814357081388,0.0
