d,branch,est,r_v4_m60,s_v4_m60,r_ent_cak,s_ent_cak,r_sent,s_sent,r_integ,s_integ
3,B,diffusion_t4,0.12951480793395556,0.525,0.31850477495579266,0.5,0.7607735471325515,0.5,0.15308611758640087,0.5625
3,B,heatgeo_t2,-0.40421666518244037,0.5125,-0.6063230086150295,0.225,0.5465271934018773,0.5,0.32588870564801914,0.5
3,B,pca,0.6574504450379007,0.75,0.6215515734896927,0.5,0.7223548311704258,0.5,0.7662776568352315,0.575
3,B,plain,0.767269394122217,0.825,0.6662967802794306,0.5,0.6708225201229304,0.5,0.7438265797431542,0.7875
3,C05,diffusion_t4,0.20463064116192398,0.675,0.19335449418121278,0.5,0.5249427968824653,0.6875,0.41224277930214137,0.4875
3,C05,heatgeo_t2,-0.04079524356010786,0.5,-0.42615898836456706,0.2375,0.41667000550956035,0.5,0.21114450881861713,0.5
3,C05,pca,0.5191746985453618,0.85,0.5247528424285453,0.5,0.6047727705257563,0.5,0.4653500340789636,0.4875
3,C05,plain,0.3959431981230471,0.7,0.519790324698068,0.5,0.4725884523336068,0.5,0.4679587544767267,0.575
3,D,diffusion_t4,0.0012782632809881685,0.5,0.046179376380741724,0.5,-0.053907107040130624,0.525,0.04142568039330973,0.5375
3,D,heatgeo_t2,0.13205727527796526,0.5,,0.0,0.08116182693200126,0.5,0.13584635758668123,0.5
3,D,pca,0.11282190008218486,0.6,0.1757112537369221,0.5,-0.09856895329782744,0.4875,-0.0452095421321125,0.3875
3,D,plain,0.18889730883358063,0.475,0.12406429712703501,0.5,0.00017842651282446673,0.5,0.047165227519291225,0.5625
4,B,diffusion_t4,0.6377496277614683,0.8214285714285714,-0.7267456216931498,0.5,0.7978667480233061,0.5,-0.0412824166665484,0.5
4,B,heatgeo_t2,-0.30976488672469676,0.5,-0.5598367288584699,0.4166666666666667,0.5918027853446766,0.5,-0.6167675732455481,0.5
4,B,pca,0.6110227381844422,0.6547619047619048,0.14329286260396665,0.5,0.7234626247381588,0.5,0.11918564921783441,0.47619047619047616
4,B,plain,0.7513945939557263,0.9047619047619048,0.5426704064504086,0.5,0.6245400877323669,0.5,0.1614900702256339,0.4642857142857143
4,C05,diffusion_t4,0.31597897902402505,0.5,-0.36958828542376604,0.5,0.3354354463394555,0.5,-0.3924895427577014,0.5
4,C05,heatgeo_t2,-0.23738292366058072,0.2619047619047619,-0.22061261440391775,0.3333333333333333,0.29854410430728434,0.5,-0.23847689983966927,0.5
4,C05,pca,0.19084603773534287,0.5238095238095238,0.046630851929541445,0.5,0.30532588566522495,0.5,0.13001568775181177,0.5357142857142857
4,C05,plain,0.08264756957245972,0.5595238095238095,0.0020583687501075885,0.5,0.29070668139428935,0.5,-0.024717134920534553,0.5238095238095238
4,D,diffusion_t4,0.2934199697931156,0.5,0.21657279970117008,0.4880952380952381,0.32549044394127574,0.5357142857142857,0.12623646284005724,0.38095238095238093
4,D,heatgeo_t2,-0.1476670876770859,0.5238095238095237,,0.0,0.27894982258528067,0.5,-0.10938190980518059,0.5
4,D,pca,0.03913541820589911,0.5119047619047619,0.1248980927330495,0.5238095238095238,0.24808518150619632,0.5357142857142857,0.08299775240463625,0.6071428571428572
4,D,plain,0.12693408051571536,0.5,0.14440005598599784,0.5,0.15052229775168147,0.5,0.3162452628399921,0.5
5,B,diffusion_t4,0.5614750866820878,0.5,-0.6809083450885329,0.5,0.57827603088162,0.5,0.2501835180351271,0.20454545454545453
5,B,heatgeo_t2,-0.315259205763109,0.3068181818181818,-0.36732316069393744,0.0,0.6156425624538356,0.5,-0.4690410203638246,0.5
5,B,pca,0.5892856036623642,0.75,0.32327530816777245,0.5,0.7886503223741005,0.5,0.35320049574856655,0.48863636363636365
5,B,plain,0.752539966238241,0.625,0.6138778902586539,0.5,0.7083339758869124,0.5,0.18965846958773133,0.5795454545454546
5,C05,diffusion_t4,0.5822339249717307,0.5,-0.22109248901431386,0.45454545454545453,0.24975576019241888,0.5,0.10602368557036647,0.3295454545454546
5,C05,heatgeo_t2,0.2484788645591118,0.75,-0.1047542763628371,0.0,0.4130376130428144,0.625,0.09335329957259113,0.5
5,C05,pca,0.36539685062994876,0.7159090909090908,0.2858209196820604,0.5,0.2996656892477025,0.5,0.16848253953981435,0.38636363636363635
5,C05,plain,0.09373316318459313,0.6590909090909092,0.2956920034108081,0.5,0.33258575736598067,0.625,0.1880359309646557,0.9090909090909092
5,D,diffusion_t4,0.1085144282345491,0.5,0.05510055678965688,0.6136363636363636,0.07102181543223975,0.7272727272727273,0.050783488838721705,0.6363636363636364
5,D,heatgeo_t2,-0.03881741363058738,0.5,,0.0,0.1301424941644702,0.5,-0.036223111711939995,0.5
5,D,pca,-0.06937391164622367,0.4318181818181818,-0.0314321488243669,0.4318181818181818,0.13385404134021875,0.42045454545454547,0.03698640331748358,0.6363636363636364
5,D,plain,0.2283233826233458,0.5,0.1646530812687983,0.5,0.09260751687049584,0.4659090909090909,0.02833424509728422,0.5795454545454546
