d,seed,corruption,est,chan,field_r
3,0,A_oracle,oracle,v4_m60,0.9739670836186933
3,0,A_oracle,oracle,v4_m120,0.9452924884316702
3,0,A_oracle,oracle,v3_defect,0.38769490960498865
3,0,A_oracle,oracle,sent,0.5896264514481838
3,0,A_oracle,oracle,ent_cak,0.6730135351049205
3,0,A_oracle,oracle,frac,0.8797166736577468
3,0,A_oracle,oracle,kappa,0.46544486923261
3,0,B,plain,v4_m60,0.7719207024226205
3,0,B,plain,v4_m120,0.8905810092873448
3,0,B,plain,v3_defect,0.34775004424571904
3,0,B,plain,sent,0.6626802830122631
3,0,B,plain,ent_cak,0.6831860007594992
3,0,B,plain,frac,0.7902593663716045
3,0,B,plain,kappa,0.4594637449969162
3,0,B,nugget,v4_m60,0.6867323646373737
3,0,B,nugget,v4_m120,0.8565193105532066
3,0,B,nugget,v3_defect,0.588038217074787
3,0,B,nugget,sent,0.6345105872493348
3,0,B,nugget,ent_cak,0.6562797999238587
3,0,B,nugget,frac,0.7962349936087169
3,0,B,nugget,kappa,0.40318254447543384
3,0,B,pca,v4_m60,0.6804623547509487
3,0,B,pca,v4_m120,0.8745448045975052
3,0,B,pca,v3_defect,0.5525984030415189
3,0,B,pca,sent,0.7188613400173289
3,0,B,pca,ent_cak,0.6617568240860773
3,0,B,pca,frac,0.8321653432792966
3,0,B,pca,kappa,0.5528938441273396
3,0,B,diffusion_t4,v4_m60,0.18265447527820866
3,0,B,diffusion_t4,v4_m120,0.19299478531887118
3,0,B,diffusion_t4,v3_defect,0.4464989289833122
3,0,B,diffusion_t4,sent,0.7805396460709616
3,0,B,diffusion_t4,ent_cak,0.40101718373767675
3,0,B,diffusion_t4,frac,0.901302590638019
3,0,B,diffusion_t4,kappa,0.23412733602359218
3,0,B,diffusion_t8,v4_m60,0.3252922233982037
3,0,B,diffusion_t8,v4_m120,0.4399238184564866
3,0,B,diffusion_t8,v3_defect,0.56963922683064
3,0,B,diffusion_t8,sent,0.8219669744313457
3,0,B,diffusion_t8,ent_cak,-0.5782805370081521
3,0,B,diffusion_t8,frac,0.895618438091086
3,0,B,diffusion_t8,kappa,0.79925887356786
3,0,B,heatgeo_t2,v4_m60,-0.7003533410824285
3,0,B,heatgeo_t2,v4_m120,-0.6361722394651551
3,0,B,heatgeo_t2,v3_defect,0.5931137115393866
3,0,B,heatgeo_t2,sent,0.5359843168269969
3,0,B,heatgeo_t2,ent_cak,-0.6217352074570843
3,0,B,heatgeo_t2,frac,
3,0,B,heatgeo_t2,kappa,-0.13525178059192627
3,0,B,heatgeo_t8,v4_m60,-0.7636816249020013
3,0,B,heatgeo_t8,v4_m120,-0.76749334509105
3,0,B,heatgeo_t8,v3_defect,
3,0,B,heatgeo_t8,sent,0.6301002052732061
3,0,B,heatgeo_t8,ent_cak,
3,0,B,heatgeo_t8,frac,
3,0,B,heatgeo_t8,kappa,-0.18971132880660138
3,0,C05,plain,v4_m60,0.4291984360708458
