branch,dim,v4_m60,v3,ent_cak_std
B,3,0.019575112321320465,0.024146280089729133,0.3576990354877648
B,4,0.021735065519896433,0.027651176008075547,0.3533592681234137
B,5,0.03861410410755072,0.026493887118906642,0.39367252776303624
C05,3,0.08118656426273105,0.033728072826595706,0.4062960770637992
C05,4,0.05366504661117732,0.02603761738044319,0.44832583570042317
C05,5,0.035384967785494326,0.02695880517630453,0.755132825208879
C17,3,0.1569379661695641,0.02390138686888016,0.8097421507593704
C17,4,0.09746089115956355,0.021996393467655324,0.7814783625727723
C17,5,0.0350011807459351,0.023296449620928555,1.2283025369124585
D,3,0.5889906754688947,0.06735131927808116,0.4096205609309797
D,4,0.38100595246655045,0.05964527509966895,0.4514445525426242
D,5,0.21829951411383197,0.05958158932958685,0.5703230260625265
E_C17,3,0.18327153427065584,0.029824812651718602,1.2255824731744003
E_C17,4,0.11342269030273554,0.03969510034480929,1.5594495329837228
E_C17,5,0.05806465890988365,0.04724491168740874,2.073750417905159
E_D,3,0.5416736587197069,0.03536388266009841,1.6013357348961101
E_D,4,0.31280734968723045,0.023130108059857338,1.5975259675702622
E_D,5,0.15925282246845118,0.03808811425678972,1.7830568377848204
