branch,estimator,r_v4_m60,sign_v4_m60,r_ent_cak,r_integ,sign_integ
B,diffdist_t4,0.443,0.537,-0.363,-0.207,0.433
B,diffdist_t8,-0.112,0.529,-0.791,-0.617,0.34
B,fb_potential,-0.009,0.39,0.145,0.14,0.415
B,heatgeo_4t,-0.031,0.495,-0.518,0.361,0.5
B,heatgeo_t,-0.049,0.495,-0.448,0.341,0.5
B,pca_denoise,0.619,0.763,0.363,0.491,0.529
B,plain,0.757,0.82,0.608,0.592,0.557
C05,diffdist_t4,0.368,0.525,-0.132,-0.117,0.429
C05,diffdist_t8,-0.08,0.5,-0.429,-0.38,0.396
C05,fb_potential,0.059,0.585,0.115,0.149,0.547
C05,heatgeo_4t,0.036,0.588,-0.216,0.172,0.5
C05,heatgeo_t,0.028,0.592,-0.335,0.245,0.5
C05,pca_denoise,0.358,0.707,0.286,0.305,0.631
C05,plain,0.191,0.672,0.273,0.235,0.671
D,diffdist_t4,0.134,0.5,0.106,0.114,0.579
D,diffdist_t8,0.085,0.5,0.127,0.13,0.505
D,fb_potential,0.055,0.505,-0.016,-0.122,0.511
D,heatgeo_4t,-0.08,0.531,,0.217,0.5
D,heatgeo_t,-0.08,0.531,,0.219,0.5
D,pca_denoise,0.028,0.555,0.09,0.043,0.619
D,plain,0.181,0.496,0.144,0.084,0.643
