dim,branch,estimator,n,r_integ,sign_integ,r_v4_m60,sign_v4_m60,r_ent_cak,sign_ent_cak,r_sent,sign_sent
3,A,oracle,48,0.8659923032081005,0.9375,0.9716076499851278,0.9375,0.6693644787663342,0.5125,0.616089035919251,0.5
3,B,diffdist_t4,48,0.1441665156110284,0.6375,0.12951480793395617,0.5625,0.31850477495579266,0.55,0.7607735471325534,0.5625
3,B,diffdist_t8,48,-0.47910004731899036,0.1625,0.22059706237357726,0.5875,-0.6489494170615971,0.5,0.8057841401764037,0.6875
3,B,fb_potential,48,0.22330304804632314,0.525,0.30805440149187047,0.55,0.20503857194959485,0.4125,0.40804646999833677,0.5
3,B,heatgeo_4t,48,0.5422131002546853,0.5,-0.13283669260601647,0.475,-0.6423489104573095,0.5,0.5702496758154342,0.7375
3,B,heatgeo_t,48,0.5868248047381092,0.5,-0.14536608001206888,0.475,-0.6515347836969073,0.5,0.578809158368415,0.7375
3,B,pca_denoise,48,0.7325750460320698,0.575,0.6574504450379011,0.675,0.6215515734896924,0.575,0.7223548311704263,0.8
3,B,plain,48,0.8037456307014016,0.6,0.767269394122217,0.75,0.6662967802794306,0.875,0.6708225201229281,0.7625
3,C05,diffdist_t4,48,0.2094674863800813,0.5375,0.20463064116192484,0.575,0.19335449418121284,0.5,0.5249427968824636,0.5
3,C05,diffdist_t8,48,-0.2779792557831123,0.1875,0.2526185777380999,0.5,-0.3436795734196246,0.4875,0.4680895806686873,0.6375
3,C05,fb_potential,48,0.11079869995484873,0.3625,-0.02507427481833733,0.55,0.010775324231087187,0.5125,0.08126505565606626,0.5
3,C05,heatgeo_4t,48,0.5034062727891326,0.5,0.25902830653706993,0.6125,-0.45160796994919655,0.5,0.36435365078100224,0.6875
3,C05,heatgeo_t,48,0.5881240636483948,0.5,0.2483599869590684,0.6125,-0.4689103604007237,0.5,0.3609412649211996,0.6875
3,C05,pca_denoise,48,0.5928823933053977,0.5,0.5191746985453617,0.7,0.5247528424285453,0.8,0.6047727705257528,0.6625
3,C05,plain,48,0.5181063390965804,0.6,0.39594319812304746,0.6875,0.5197903246980683,0.85,0.4725884523336037,0.5125
3,D,diffdist_t4,48,0.014948573967150193,0.5375,0.0012782632810003618,0.5,0.046179376380741544,0.475,-0.05390710704013334,0.5
3,D,diffdist_t8,48,-0.0144805977161646,0.4125,-0.011162263861116902,0.5,0.051146775107608934,0.4125,-0.03941129191845638,0.5
3,D,fb_potential,48,-0.040320511860527986,0.525,0.137385110200601,0.475,0.03132916527776211,0.5125,-0.224189112638466,0.5
3,D,heatgeo_4t,48,0.1006199141009646,0.5,0.10384953433371633,0.625,,0.0,0.0919739511147528,0.5125
3,D,heatgeo_t,48,0.09988381851507103,0.5,0.1047907029814986,0.625,,0.0,0.09186178574212202,0.5125
3,D,pca_denoise,48,-0.05753308793411794,0.6125,0.11282190008218591,0.6,0.17571125373692212,0.4375,-0.0985689532978243,0.575
