mani,seed,r_dH,r_static,dH_mean,dH_absmean
dumbbell3,0,0.5748553980352719,0.5768060177327137,0.24705668657181948,0.24705668657181948
dumbbell3,1,0.6209074649932402,0.6180613029484697,0.23088583020206804,0.23088583020206804
dumbbell4,0,0.2694641714713724,0.3159292845669023,0.23182207053983742,0.23182207053983742
dumbbell4,1,-0.013924197069246221,-0.03876082626480158,0.2061191142205104,0.2061191142205104
necklace3,0,0.8124340450065733,0.8354940620853211,0.2636472630568781,0.26468203002333657
necklace3,1,0.8474401763338287,0.8792032116593491,0.23587694936179285,0.23635546371400756
torus_rev,0,0.9386759615810812,0.937787808204163,0.5136623112116684,0.5136623112116684
torus_rev,1,0.9602052265491653,0.9618970840240502,0.5037411856791459,0.5037411856791459
flat_null,0,,,0.05950218141416062,0.05950218141416062
flat_null,1,,,0.06266076782004744,0.06266076782004744
