config,kind,dim,rate_deform_r,rate_deform_bal,rate_channel_r,rate_channel_bal,static_r,deform_vs_static,band_ok,m_med,delocal_r,rate_deform_flatmed,rate_channel_flatmed
allpairs,dumbbell,3,0.03666060851116769,0.7364864864864865,0.09182462221758642,0.6058558558558559,0.3567556324100557,-0.0765162740025119,1.0,120.0,-0.07400162556404381,,
allpairs,dumbbell,4,0.24216309314154802,0.6866666666666666,-0.019952734197442284,0.4533333333333333,0.34702941513034846,0.10627533543960406,1.0,120.0,-0.016468187885172486,,
allpairs,dumbbell,5,0.08936575370563543,0.039473684210526314,0.024419219611738853,0.019736842105263157,-0.0207704646281327,-0.8340053705749512,1.0,120.0,-0.029328252683261197,,
allpairs,necklace,3,0.01696994043621003,0.5358974358974359,0.01478865503353361,0.5846153846153846,0.2859964956508391,-0.20896188914081845,1.0,120.0,-0.0642955256824769,,
allpairs,necklace,4,-0.19458314438301902,0.40441176470588236,0.005921124519826536,0.607843137254902,0.32267483341417347,-0.038164438429190976,1.0,120.0,-0.010141528046426436,,
allpairs,necklace,5,-0.04366726377579682,0.07746478873239436,-0.15961960741061443,0.02112676056338028,0.008946910518066559,-0.6758535460935388,1.0,120.0,-0.008518395383771787,,
allpairs,necklace,6,,0.0,,0.0,,,1.0,120.0,,,
allpairs,torus,3,,,,,,-0.2705665012444069,1.0,120.0,-0.0522739079408596,0.0005367041120590841,5.7148148870922455e-06
allpairs,torus,4,,,,,,-0.14068365109692527,1.0,120.0,-0.00861041456730816,5.05194054522915e-05,5.601941938474889e-07
allpairs,torus,5,,,,,,-0.9006493907681439,1.0,120.0,0.014092626471076342,0.0,0.0
center,dumbbell,3,-0.05202510610070025,0.4009009009009009,-0.007564261395615884,0.5675675675675675,0.3567556324100557,-0.00021306810808217102,1.0,120.0,-0.4123805954128589,,
center,dumbbell,4,-0.18521978255885413,0.32,-0.042116297173246005,0.5266666666666666,0.34702941513034846,-0.09339901376693603,1.0,120.0,-0.4050609634840133,,
center,dumbbell,5,-0.09476560915538931,0.4013157894736842,-0.10828484879289343,0.368421052631579,0.3583224025508909,-0.07118628391480893,1.0,120.0,-0.3852419322170818,,
center,necklace,3,-0.03954825507896296,0.5256410256410257,-0.0940209222408269,0.5205128205128204,0.2859964956508391,0.05877258730616569,1.0,120.0,-0.43120806068259254,,
center,necklace,4,0.010093839393202079,0.5147058823529411,0.08080972227349137,0.48774509803921573,0.32267483341417347,-0.20636699794307814,1.0,120.0,-0.405626219683651,,
center,necklace,5,0.05750895066861389,0.528169014084507,0.015591152212525664,0.42097026604068855,0.09336744618362433,-0.37178565208147457,1.0,120.0,-0.3995215150025029,,
center,necklace,6,0.058339590893199685,0.5,-0.015480836825781039,0.3888888888888889,0.15314326174827222,-0.10087189460573018,1.0,120.0,-0.35580369090301506,,
center,torus,3,,,,,,0.003169607994738167,1.0,120.0,-0.42804542285457553,0.0024395468513435385,1.075236376365159e-05
center,torus,4,,,,,,0.10814928133076326,1.0,120.0,-0.4223239388654818,0.0027933033596141852,5.91487595702489e-06
center,torus,5,,,,,,0.1808956940937644,1.0,120.0,-0.39039804083581886,0.002669814901681699,6.047175235520304e-06
