rq,kind,dim,rate_deform_r,rate_deform_bal,rate_channel_r,rate_channel_bal,static_r,deform_vs_static,band_ok,m_med,delocal_r,rate_deform_flatmed,rate_channel_flatmed
0.033,dumbbell,3,-0.11517406311233934,0.28378378378378377,-0.01390749723329644,0.2545045045045045,0.26446783055261414,-0.3473235850422524,1.0,40.0,-0.02003374170432868,,
0.033,dumbbell,4,0.03906086859188933,0.013333333333333334,0.06293690158451774,0.013333333333333334,0.07746170326343078,0.31847972637567923,1.0,40.0,0.029389772498220217,,
0.033,necklace,3,-0.11385564166230097,0.2230769230769231,-0.07285597391627215,0.22564102564102564,0.1406331593721991,0.2425164149618325,1.0,40.0,-0.010590532432319598,,
0.033,necklace,5,,0.0,,0.0,,,1.0,40.0,,,
0.033,torus,3,,,,,,0.0034999112495428695,1.0,40.0,0.003933309197647221,1.4219663636339212e-05,5.633405046149657e-08
0.05,dumbbell,3,0.012552076307859648,0.5382882882882882,0.09285307123178,0.6689189189189189,0.2693997722571065,-0.0645667788606407,1.0,60.0,-0.015148631644546358,,
0.05,dumbbell,4,0.09459750179211593,0.23333333333333334,0.012020156755045712,0.25333333333333335,0.2107900769165959,-0.029052068351316365,1.0,60.0,-0.01582270909425292,,
0.05,necklace,3,0.08931742845990587,0.5256410256410257,0.05413867270967276,0.5307692307692308,0.2577303170492506,0.0425099974219271,1.0,60.0,-0.010471261073645564,,
0.05,necklace,5,,0.0,,0.0,,,1.0,60.0,,,
0.05,torus,3,,,,,,0.002428039758890493,1.0,60.0,0.0060362046647865686,5.2545611248796166e-05,6.78707856434831e-07
0.075,dumbbell,3,-0.005831674637781105,0.536036036036036,-0.15243440664604788,0.41216216216216217,0.33130000780400976,-0.1289615092275652,1.0,90.0,-0.050447346070822505,,
0.075,dumbbell,4,0.042000954322081036,0.5333333333333333,-0.10135994982523441,0.48,0.2550099378948702,-0.006377705941966004,1.0,90.0,-0.0021400655465149423,,
0.075,necklace,3,0.09003595809372807,0.5051282051282051,-0.10417966302577725,0.4025641025641026,0.29796567599224233,-0.07247746115243851,1.0,90.0,-0.026286379132001138,,
0.075,necklace,5,0.05482552997170555,0.02112676056338028,-0.010079237812389556,0.007042253521126761,-0.0030885866186194503,-0.1935584582279293,1.0,90.0,0.03052790061823484,,
0.075,torus,3,,,,,,-0.2126840041285871,1.0,90.0,-0.013667644173584504,0.00033791744370946253,1.73253676679271e-06
0.1,dumbbell,3,0.03666060851116769,0.7364864864864865,0.09182462221758642,0.6058558558558559,0.3567556324100557,-0.0765162740025119,1.0,120.0,-0.07400162556404381,,
0.1,dumbbell,4,0.24216309314154802,0.6866666666666666,-0.019952734197442284,0.4533333333333333,0.34702941513034846,0.10627533543960406,1.0,120.0,-0.016468187885172486,,
0.1,necklace,3,0.01696994043621003,0.5358974358974359,0.01478865503353361,0.5846153846153846,0.2859964956508391,-0.20896188914081845,1.0,120.0,-0.0642955256824769,,
0.1,necklace,5,-0.04366726377579682,0.07746478873239436,-0.15961960741061443,0.02112676056338028,0.008946910518066559,-0.6758535460935388,1.0,120.0,-0.008518395383771787,,
0.1,torus,3,,,,,,-0.2705665012444069,1.0,120.0,-0.0522739079408596,0.0005367041120590841,5.7148148870922455e-06
