instance,point,kind,dataset,dim,noise,seed,name,ks_true,kappa,frac,ent2,ent4
0,1269,sphere,tier1,2,0.0,0,S2(r=0.7),4.940754995073699,0.1078408561844093,0.0,4.421715259552002,5.090067863464356
0,112,sphere,tier1,2,0.0,0,S2(r=0.7),4.940754995073699,0.0621241146471405,0.0,4.510766983032227,5.103941917419434
0,24,sphere,tier1,2,0.0,0,S2(r=0.7),4.940754995073699,0.0985996402099487,0.0,4.668021202087402,5.326056957244873
0,764,sphere,tier1,2,0.0,0,S2(r=0.7),4.940754995073699,0.0684043747588862,0.0625,4.601192474365234,5.260908126831055
0,460,sphere,tier1,2,0.0,0,S2(r=0.7),4.940754995073699,0.128784060925777,0.125,4.7879791259765625,5.406104564666748
0,403,sphere,tier1,2,0.0,0,S2(r=0.7),4.940754995073699,0.0471820636239686,0.0,4.7927446365356445,5.399823188781738
0,61,sphere,tier1,2,0.0,0,S2(r=0.7),4.940754995073699,0.093753013690794,0.0,4.601351737976074,5.2421698570251465
0,951,sphere,tier1,2,0.0,0,S2(r=0.7),4.940754995073699,0.0888212201720774,0.125,4.588430404663086,5.282225131988525
1,1269,sphere,tier1,2,0.05,0,S2(r=0.7),4.940754995073699,0.119019168417426,0.0,4.419963836669922,5.091131210327148
1,112,sphere,tier1,2,0.05,0,S2(r=0.7),4.940754995073699,0.0921022651481379,0.0,4.510567665100098,5.1044206619262695
1,24,sphere,tier1,2,0.05,0,S2(r=0.7),4.940754995073699,0.0977238708530473,0.0,4.666351795196533,5.328868389129639
1,764,sphere,tier1,2,0.05,0,S2(r=0.7),4.940754995073699,0.1781301293824435,0.0625,4.611894607543945,5.270302295684815
1,460,sphere,tier1,2,0.05,0,S2(r=0.7),4.940754995073699,0.210040454978589,0.125,4.787440299987793,5.407901763916016
1,403,sphere,tier1,2,0.05,0,S2(r=0.7),4.940754995073699,0.0806702319255711,0.0,4.79652738571167,5.404510498046875
1,61,sphere,tier1,2,0.05,0,S2(r=0.7),4.940754995073699,0.0643771098650482,0.0,4.604524612426758,5.244978427886963
