anchor,ks,V,ent0,entw,frac0,fracw,d_ent,d_frac,kind,dim,seed,mode,goal_acc
676,-123.73268824969645,0.458592738495339,7.0319977,4.2536974,0.9375,1.0,-2.7783003,0.0625,dumbbell,3,0,proxy,1.0
535,-52.756128616739964,0.5518087780194214,6.8017597,4.5337453,0.6875,1.0,-2.2680144,0.3125,dumbbell,3,0,proxy,1.0
612,-14.869072970510835,0.5181981869065201,6.7697306,4.294721,0.4375,0.875,-2.4750094,0.4375,dumbbell,3,0,proxy,1.0
894,5.431549965527312,0.6678007476109521,6.6712046,4.5903654,0.25,1.0,-2.0808392,0.75,dumbbell,3,0,proxy,1.0
1380,9.298448521830508,0.6622322018237983,6.3168035,4.1946163,0.0,0.75,-2.1221871,0.75,dumbbell,3,0,proxy,1.0
1044,9.734029362206519,0.4559243613517161,6.304234,4.019257,0.0,0.5,-2.284977,0.5,dumbbell,3,0,proxy,1.0
545,10.187353512545416,0.58059384114863,6.2687016,3.6498284,0.0,0.6875,-2.6188731,0.6875,dumbbell,3,0,proxy,1.0
539,10.727248684091858,0.40532101329727954,6.2577696,4.2241545,0.0,0.9375,-2.033615,0.9375,dumbbell,3,0,proxy,1.0
308,11.290719418418739,0.46957320977706846,6.3091574,3.9890432,0.0,0.75,-2.3201141,0.75,dumbbell,3,0,proxy,1.0
1211,11.816860442950112,0.32477754635568257,6.3075113,3.3177776,0.0,0.25,-2.9897337,0.25,dumbbell,3,0,proxy,1.0
592,12.353508287602647,0.2998028214324421,6.2563534,3.9853697,0.0,0.8125,-2.2709837,0.8125,dumbbell,3,0,proxy,1.0
922,13.08481043363165,0.5715625405539535,6.263827,4.0520706,0.0,0.4375,-2.2117562,0.4375,dumbbell,3,0,proxy,1.0
623,13.896615576072982,0.46771346765531285,6.2715054,4.0467677,0.0,0.8125,-2.2247376,0.8125,dumbbell,3,0,proxy,1.0
31,14.795506979544653,0.3907897952497881,6.251075,4.1568336,0.0,0.9375,-2.0942411,0.9375,dumbbell,3,0,proxy,1.0
978,15.885198393084211,0.6048282823678925,6.255013,3.7564635,0.0,0.3125,-2.4985495,0.3125,dumbbell,3,0,proxy,1.0
1224,17.139955319129093,0.41490648138931535,6.2707057,3.7726135,0.0,0.8125,-2.4980922,0.8125,dumbbell,3,0,proxy,1.0
1356,17.86444450248348,0.19221919052507727,6.277403,3.9169693,0.0,1.0,-2.3604336,1.0,dumbbell,3,0,proxy,1.0
183,18.790907677459302,0.31640095235067456,6.2643175,3.5403862,0.0,0.25,-2.7239313,0.25,dumbbell,3,0,proxy,1.0
770,19.693368211359815,0.35036094392689604,6.3289585,3.602994,0.0,0.875,-2.7259645,0.875,dumbbell,3,0,proxy,1.0
1450,21.192398490167747,0.5112984480166831,6.184264,4.3360996,0.0,1.0,-1.8481646,1.0,dumbbell,3,0,proxy,1.0
1297,22.183995958877667,0.14817821752565163,6.236707,3.8473895,0.0,1.0,-2.3893178,1.0,dumbbell,3,0,proxy,1.0
329,23.563035656854442,0.29773393512043345,6.2938356,3.884036,0.0,0.8125,-2.4097996,0.8125,dumbbell,3,0,proxy,1.0
1154,25.370971992037134,0.0,6.2056727,3.7496905,0.0,0.625,-2.4559822,0.625,dumbbell,3,0,proxy,1.0
1249,26.638318248049746,0.3186235653840446,6.3044333,2.8901753,0.0,0.5,-3.414258,0.5,dumbbell,3,0,proxy,1.0
1117,27.884008918879832,0.3748447253920559,6.651682,3.866083,0.25,1.0,-2.785599,0.75,dumbbell,3,0,proxy,1.0
229,29.282661796048142,0.4824755190388893,6.706046,3.1940556,0.3125,0.6875,-3.5119905,0.375,dumbbell,3,0,proxy,1.0
663,30.171477332536107,0.7327573080386885,6.521493,4.6550684,0.125,0.9375,-1.8664246,0.8125,dumbbell,3,0,proxy,1.0
518,31.158070337016014,0.2888286663493696,6.3143053,3.4942236,0.0,0.125,-2.8200817,0.125,dumbbell,3,0,proxy,1.0
1190,32.52797648270132,0.6007863327022936,6.2232523,3.5925446,0.0,0.9375,-2.6307077,0.9375,dumbbell,3,0,proxy,1.0
170,33.93425705374371,0.34446103654880356,6.1977797,3.7371871,0.0,0.3125,-2.4605925,0.3125,dumbbell,3,0,proxy,1.0
1124,35.17052208313692,0.0849592417784187,6.2385907,3.508935,0.0,0.1875,-2.7296557,0.1875,dumbbell,3,0,proxy,1.0
1410,36.16632769128221,0.3673600939182115,6.1817627,3.6046376,0.0,0.25,-2.577125,0.25,dumbbell,3,0,proxy,1.0
107,37.095283943089456,0.2964315519095524,6.2595844,3.6005526,0.0,0.8125,-2.6590319,0.8125,dumbbell,3,0,proxy,1.0
8,38.02496510354766,0.8782634236595956,6.4096336,4.1490765,0.0625,0.9375,-2.2605572,0.875,dumbbell,3,0,proxy,1.0
1100,39.30184026927018,0.33807702596967226,6.353312,3.527611,0.0625,0.375,-2.825701,0.3125,dumbbell,3,0,proxy,1.0
610,40.26435430885271,0.7195162356758146,6.668812,4.10445,0.125,0.875,-2.5643616,0.75,dumbbell,3,0,proxy,1.0
365,41.172919210791385,0.5463341526163246,6.5436482,3.598993,0.1875,0.6875,-2.9446552,0.5,dumbbell,3,0,proxy,1.0
725,41.995526232768704,0.4915390269637263,6.323924,3.3268235,0.0,0.375,-2.9971006,0.375,dumbbell,3,0,proxy,1.0
1439,42.81210292124083,0.2947020512443602,6.3634377,3.9111586,0.0,0.625,-2.452279,0.625,dumbbell,3,0,proxy,1.0
1003,43.6569644178917,0.3349214659511096,6.3239202,3.651048,0.0,0.4375,-2.6728723,0.4375,dumbbell,3,0,proxy,1.0
42,44.312955863146314,0.4073756786897062,6.2505894,3.2514896,0.0,0.75,-2.9990997,0.75,dumbbell,3,0,proxy,1.0
836,44.89688883831238,0.0,6.254198,2.8991287,0.0,0.5625,-3.3550694,0.5625,dumbbell,3,0,proxy,1.0
198,45.49239635782935,0.41160570654733214,6.4102993,3.8054955,0.25,0.625,-2.6048038,0.375,dumbbell,3,0,proxy,1.0
724,45.81502293129721,0.8038589625851034,6.3758955,3.9628024,0.0625,1.0,-2.413093,0.9375,dumbbell,3,0,proxy,1.0
439,46.19172058564673,0.17831252415513457,6.3874297,3.69923,0.0,0.1875,-2.6881998,0.1875,dumbbell,3,0,proxy,1.0
1459,46.49110298165155,0.38230917431000117,6.4504004,4.1770697,0.125,0.875,-2.2733307,0.75,dumbbell,3,0,proxy,1.0
813,46.73060276940405,0.44482790304986475,6.440813,3.843547,0.0,0.625,-2.597266,0.625,dumbbell,3,0,proxy,1.0
384,46.86483530289183,0.7306345661733292,6.410677,3.9381008,0.125,0.9375,-2.4725761,0.8125,dumbbell,3,0,proxy,1.0
676,-123.73268824969645,0.3545935733754987,7.0319977,4.876529,0.9375,1.0,-2.1554685,0.0625,dumbbell,3,0,random,0.9
535,-52.756128616739964,0.338302532168296,6.8017597,4.6215706,0.6875,0.6875,-2.1801891,0.0,dumbbell,3,0,random,0.9
612,-14.869072970510835,0.2594891915866109,6.7697306,4.7084947,0.4375,0.625,-2.061236,0.1875,dumbbell,3,0,random,0.9
894,5.431549965527312,0.2882380099646803,6.6712046,4.5728154,0.25,0.3125,-2.0983891,0.0625,dumbbell,3,0,random,0.9
1380,9.298448521830508,0.0,6.3168035,3.6338375,0.0,0.5625,-2.682966,0.5625,dumbbell,3,0,random,0.9
1044,9.734029362206519,0.37709389740531746,6.304234,3.853351,0.0,0.0625,-2.450883,0.0625,dumbbell,3,0,random,0.9
545,10.187353512545416,0.1469074325121467,6.2687016,3.6718218,0.0,0.125,-2.5968797,0.125,dumbbell,3,0,random,0.9
539,10.727248684091858,0.23661553292500642,6.2577696,3.6288817,0.0,0.0,-2.628888,0.0,dumbbell,3,0,random,0.9
308,11.290719418418739,0.39160329151602546,6.3091574,3.8467886,0.0,0.25,-2.4623687,0.25,dumbbell,3,0,random,0.9
1211,11.816860442950112,0.4027237273050942,6.3075113,3.8497863,0.0,0.1875,-2.457725,0.1875,dumbbell,3,0,random,0.9
592,12.353508287602647,0.18859471379754686,6.2563534,3.7106783,0.0,0.0625,-2.545675,0.0625,dumbbell,3,0,random,0.9
922,13.08481043363165,0.25044042596347393,6.263827,3.8986154,0.0,0.1875,-2.3652115,0.1875,dumbbell,3,0,random,0.9
623,13.896615576072982,0.39963214687419735,6.2715054,4.0285954,0.0,0.25,-2.24291,0.25,dumbbell,3,0,random,0.9
31,14.795506979544653,0.14196980294626,6.251075,3.8059056,0.0,0.0,-2.4451692,0.0,dumbbell,3,0,random,0.9
978,15.885198393084211,0.09019374694506391,6.255013,4.241274,0.0,0.0,-2.013739,0.0,dumbbell,3,0,random,0.9
1224,17.139955319129093,0.41690906365179614,6.2707057,4.4026365,0.0,0.6875,-1.8680692,0.6875,dumbbell,3,0,random,0.9
1356,17.86444450248348,0.21547179823613208,6.277403,4.226061,0.0,0.375,-2.051342,0.375,dumbbell,3,0,random,0.9
183,18.790907677459302,0.19564439530297748,6.2643175,4.3756905,0.0,0.125,-1.888627,0.125,dumbbell,3,0,random,0.9
770,19.693368211359815,0.30171083655263187,6.3289585,4.3820853,0.0,0.375,-1.9468732,0.375,dumbbell,3,0,random,0.9
1450,21.192398490167747,0.05298150211472449,6.184264,3.7244115,0.0,0.1875,-2.4598527,0.1875,dumbbell,3,0,random,0.9
1297,22.183995958877667,0.29270702656792136,6.236707,4.2666793,0.0,0.125,-1.9700279,0.125,dumbbell,3,0,random,0.9
329,23.563035656854442,0.4629465947309814,6.2938356,4.5597534,0.0,1.0,-1.7340822,1.0,dumbbell,3,0,random,0.9
1154,25.370971992037134,0.35656356604640743,6.2056727,3.927445,0.0,0.0,-2.2782278,0.0,dumbbell,3,0,random,0.9
1249,26.638318248049746,0.060495345242699713,6.3044333,3.654871,0.0,0.3125,-2.6495624,0.3125,dumbbell,3,0,random,0.9
1117,27.884008918879832,0.2897969019926767,6.651682,4.449359,0.25,0.4375,-2.202323,0.1875,dumbbell,3,0,random,0.9
229,29.282661796048142,0.28217995508995874,6.706046,4.447047,0.3125,0.0625,-2.2589989,-0.25,dumbbell,3,0,random,0.9
663,30.171477332536107,0.1363671758268188,6.521493,4.2168846,0.125,0.125,-2.3046083,0.0,dumbbell,3,0,random,0.9
518,31.158070337016014,0.13357560080861056,6.3143053,4.256952,0.0,0.25,-2.0573535,0.25,dumbbell,3,0,random,0.9
1190,32.52797648270132,0.34385773846111634,6.2232523,3.8308525,0.0,0.25,-2.3923998,0.25,dumbbell,3,0,random,0.9
170,33.93425705374371,0.08897074232415579,6.1977797,3.3658826,0.0,0.0,-2.831897,0.0,dumbbell,3,0,random,0.9
1124,35.17052208313692,0.33744502537956145,6.2385907,4.310561,0.0,0.1875,-1.9280295,0.1875,dumbbell,3,0,random,0.9
1410,36.16632769128221,0.20126526550087698,6.1817627,3.443939,0.0,0.0,-2.7378237,0.0,dumbbell,3,0,random,0.9
107,37.095283943089456,0.39598221308646736,6.2595844,4.2586555,0.0,0.75,-2.0009289,0.75,dumbbell,3,0,random,0.9
8,38.02496510354766,0.3240972332759675,6.4096336,4.5501213,0.0625,0.875,-1.8595123,0.8125,dumbbell,3,0,random,0.9
1100,39.30184026927018,0.3649116735423036,6.353312,4.4468865,0.0625,0.0625,-1.9064255,0.0,dumbbell,3,0,random,0.9
610,40.26435430885271,0.2016193878991558,6.668812,4.5674176,0.125,0.5,-2.1013942,0.375,dumbbell,3,0,random,0.9
365,41.172919210791385,0.3137740816412417,6.5436482,4.432353,0.1875,0.75,-2.1112952,0.5625,dumbbell,3,0,random,0.9
725,41.995526232768704,0.43184353320640123,6.323924,4.2138577,0.0,0.4375,-2.1100664,0.4375,dumbbell,3,0,random,0.9
1439,42.81210292124083,0.46569106956526046,6.3634377,4.5202594,0.0,0.9375,-1.8431783,0.9375,dumbbell,3,0,random,0.9
1003,43.6569644178917,0.29032686814033126,6.3239202,4.3595147,0.0,0.125,-1.9644055,0.125,dumbbell,3,0,random,0.9
42,44.312955863146314,0.31805058445890166,6.2505894,3.5028992,0.0,0.0625,-2.7476902,0.0625,dumbbell,3,0,random,0.9
