instance,point,kind,dim,noise,seed,ks_true,sent
0,1269,sphere,2,0.0,0,4.940754995073699,6.679223817523397
0,112,sphere,2,0.0,0,4.940754995073699,6.648515598778414
0,24,sphere,2,0.0,0,4.940754995073699,6.726681512137411
0,764,sphere,2,0.0,0,4.940754995073699,6.722570296014287
0,460,sphere,2,0.0,0,4.940754995073699,6.748526271009234
0,403,sphere,2,0.0,0,4.940754995073699,6.747519604133005
0,61,sphere,2,0.0,0,4.940754995073699,6.719779359405861
0,951,sphere,2,0.0,0,4.940754995073699,6.712883313653542
1,1269,sphere,2,0.05,0,4.940754995073699,6.684923434346153
1,112,sphere,2,0.05,0,4.940754995073699,6.651410822281843
1,24,sphere,2,0.05,0,4.940754995073699,6.735012985699329
1,764,sphere,2,0.05,0,4.940754995073699,6.732296745462474
1,460,sphere,2,0.05,0,4.940754995073699,6.75185034745853
1,403,sphere,2,0.05,0,4.940754995073699,6.752413366268934
1,61,sphere,2,0.05,0,4.940754995073699,6.723854157277858
1,951,sphere,2,0.05,0,4.940754995073699,6.72198246999749
2,1269,sphere,2,0.15,0,4.940754995073699,6.705858960834934
2,112,sphere,2,0.15,0,4.940754995073699,6.670382737382472
2,24,sphere,2,0.15,0,4.940754995073699,6.749176851452912
2,764,sphere,2,0.15,0,4.940754995073699,6.7575766617642605
2,460,sphere,2,0.15,0,4.940754995073699,6.772321650012226
2,403,sphere,2,0.15,0,4.940754995073699,6.772246857729927
2,61,sphere,2,0.15,0,4.940754995073699,6.740677432782343
2,951,sphere,2,0.15,0,4.940754995073699,6.742877174422901
3,1421,sphere,2,0.0,1,4.937568035254563,6.744101378951748
3,706,sphere,2,0.0,1,4.937568035254563,6.731004306459467
3,52,sphere,2,0.0,1,4.937568035254563,6.72894281597798
3,1422,sphere,2,0.0,1,4.937568035254563,6.72190857184993
3,1233,sphere,2,0.0,1,4.937568035254563,6.726157845696895
3,215,sphere,2,0.0,1,4.937568035254563,6.6770494489804015
3,1128,sphere,2,0.0,1,4.937568035254563,6.69665162424403
3,764,sphere,2,0.0,1,4.937568035254563,6.706607081139428
4,1421,sphere,2,0.05,1,4.937568035254563,6.749286158275684
4,706,sphere,2,0.05,1,4.937568035254563,6.734253625189094
4,52,sphere,2,0.05,1,4.937568035254563,6.734215494319521
4,1422,sphere,2,0.05,1,4.937568035254563,6.723913832564811
4,1233,sphere,2,0.05,1,4.937568035254563,6.732603070380678
4,215,sphere,2,0.05,1,4.937568035254563,6.688054231342079
4,1128,sphere,2,0.05,1,4.937568035254563,6.6997454479785485
4,764,sphere,2,0.05,1,4.937568035254563,6.712344641989647
5,1421,sphere,2,0.15,1,4.937568035254563,6.777533362663131
5,706,sphere,2,0.15,1,4.937568035254563,6.75565978942358
5,52,sphere,2,0.15,1,4.937568035254563,6.754965155592917
5,1422,sphere,2,0.15,1,4.937568035254563,6.740701666623632
5,1233,sphere,2,0.15,1,4.937568035254563,6.760875333345648
5,215,sphere,2,0.15,1,4.937568035254563,6.717991339187712
5,1128,sphere,2,0.15,1,4.937568035254563,6.722014383304913
5,764,sphere,2,0.15,1,4.937568035254563,6.743330797808229
6,137,sphere,2,0.0,2,4.925490064133889,6.717501822428192
6,390,sphere,2,0.0,2,4.925490064133889,6.789180552818193
6,1250,sphere,2,0.0,2,4.925490064133889,6.694004552558151
6,1219,sphere,2,0.0,2,4.925490064133889,6.7300910854211375
6,446,sphere,2,0.0,2,4.925490064133889,6.6960532118462295
6,676,sphere,2,0.0,2,4.925490064133889,6.705271768539332
6,619,sphere,2,0.0,2,4.925490064133889,6.753412128006103
6,163,sphere,2,0.0,2,4.925490064133889,6.710811227307801
7,137,sphere,2,0.05,2,4.925490064133889,6.72293677178203
7,390,sphere,2,0.05,2,4.925490064133889,6.792801761655701
7,1250,sphere,2,0.05,2,4.925490064133889,6.70128051723927
7,1219,sphere,2,0.05,2,4.925490064133889,6.729627133005444
7,446,sphere,2,0.05,2,4.925490064133889,6.702524851997807
7,676,sphere,2,0.05,2,4.925490064133889,6.709041151724938
7,619,sphere,2,0.05,2,4.925490064133889,6.753151060092059
7,163,sphere,2,0.05,2,4.925490064133889,6.711919461042712
8,137,sphere,2,0.15,2,4.925490064133889,6.749384932816593
8,390,sphere,2,0.15,2,4.925490064133889,6.806796797532758
8,1250,sphere,2,0.15,2,4.925490064133889,6.724027960641944
8,1219,sphere,2,0.15,2,4.925490064133889,6.74277391696221
8,446,sphere,2,0.15,2,4.925490064133889,6.72676367981112
8,676,sphere,2,0.15,2,4.925490064133889,6.733948130186209
8,619,sphere,2,0.15,2,4.925490064133889,6.767912118392887
8,163,sphere,2,0.15,2,4.925490064133889,6.733744017860054
9,1269,sphere,2,0.0,0,4.9407549950737,6.679223817523397
9,112,sphere,2,0.0,0,4.9407549950737,6.648515598778414
9,24,sphere,2,0.0,0,4.9407549950737,6.726681512137411
9,764,sphere,2,0.0,0,4.9407549950737,6.722570296014288
9,460,sphere,2,0.0,0,4.9407549950737,6.748526271009233
9,403,sphere,2,0.0,0,4.9407549950737,6.747519604133005
9,61,sphere,2,0.0,0,4.9407549950737,6.719779359405861
9,951,sphere,2,0.0,0,4.9407549950737,6.712883313653541
10,1269,sphere,2,0.05,0,4.9407549950737,6.684923434346154
10,112,sphere,2,0.05,0,4.9407549950737,6.651410822281844
10,24,sphere,2,0.05,0,4.9407549950737,6.735012985699329
10,764,sphere,2,0.05,0,4.9407549950737,6.732296745462474
10,460,sphere,2,0.05,0,4.9407549950737,6.75185034745853
10,403,sphere,2,0.05,0,4.9407549950737,6.752413366268934
10,61,sphere,2,0.05,0,4.9407549950737,6.7238541572778585
10,951,sphere,2,0.05,0,4.9407549950737,6.72198246999749
11,1269,sphere,2,0.15,0,4.9407549950737,6.705858960834935
11,112,sphere,2,0.15,0,4.9407549950737,6.670382737382472
11,24,sphere,2,0.15,0,4.9407549950737,6.749176851452912
11,764,sphere,2,0.15,0,4.9407549950737,6.757576661764261
11,460,sphere,2,0.15,0,4.9407549950737,6.772321650012226
11,403,sphere,2,0.15,0,4.9407549950737,6.772246857729927
11,61,sphere,2,0.15,0,4.9407549950737,6.740677432782343
11,951,sphere,2,0.15,0,4.9407549950737,6.742877174422901
12,1421,sphere,2,0.0,1,4.937568035254562,6.744101378951747
12,706,sphere,2,0.0,1,4.937568035254562,6.731004306459467
12,52,sphere,2,0.0,1,4.937568035254562,6.72894281597798
12,1422,sphere,2,0.0,1,4.937568035254562,6.72190857184993
12,1233,sphere,2,0.0,1,4.937568035254562,6.726157845696894
12,215,sphere,2,0.0,1,4.937568035254562,6.6770494489804015
12,1128,sphere,2,0.0,1,4.937568035254562,6.69665162424403
12,764,sphere,2,0.0,1,4.937568035254562,6.706607081139428
13,1421,sphere,2,0.05,1,4.937568035254562,6.749286158275685
