kind,dim,noise,r_integ,sign_integ,r_iso,r_v4_m60,sign_v4_m60,r_v4_m120,sign_v4_m120,r_v3_defect,sign_v3_defect,r_sent,sign_sent,r_ent_cak,sign_ent_cak,r_frac,sign_frac,r_kappa,sign_kappa,best_ch,r_best_single
dumbbell,3,0.0,0.9302322213687434,0.9864864864864865,0.8931882465630431,0.9789353157111795,0.9864864864864865,0.9439766120151601,0.9797297297297297,0.6609341426467116,0.9031531531531531,0.6083332536203798,0.6666666666666666,0.7537665799921742,0.5067567567567568,0.828522163980205,0.8716216216216216,0.29378021245932134,0.7635135135135135,v4_m60,0.9789353157111795
dumbbell,3,0.15,0.9361540955073229,0.9864864864864865,0.8836413213654354,0.952402507821475,0.9932432432432432,0.9283822291946441,0.9864864864864865,0.45772941146027324,0.8513513513513513,0.5757227013297601,0.6666666666666666,0.763291249944877,0.5,0.8543579890376304,0.8716216216216216,0.22290006102665655,0.722972972972973,v4_m60,0.952402507821475
dumbbell,4,0.0,0.9288459545113674,0.986842105263158,0.8469692642159464,0.957925569117104,0.993421052631579,0.9269930659012373,0.875,0.8163752548971616,1.0,0.4734424891435817,0.625,0.7651678377052268,0.5,0.8193072363226303,0.5,0.28798921977129566,0.6710526315789473,v4_m60,0.957925569117104
dumbbell,4,0.15,0.8802388184135044,0.986842105263158,0.8808344716352265,0.9169273048960069,1.0,0.8883954093818639,0.736842105263158,0.6135065406954083,0.9539473684210527,0.43263706362897963,0.75,0.7724325399384118,0.5,0.7964245397853227,0.5,0.07342180254401397,0.7236842105263158,v4_m60,0.9169273048960069
dumbbell,5,0.0,0.898645042102142,0.75,0.8629695711450839,0.9115420383530631,0.75,0.8660714544174751,0.75,0.5345345846662112,0.743421052631579,0.205228324493891,0.5,0.6716822410888583,0.5,0.8024268512555416,0.5,-0.0398582857854602,0.6118421052631579,v4_m60,0.9115420383530631
dumbbell,5,0.15,0.6310999175853753,0.986842105263158,0.8410706231364534,0.8892362036020629,0.75,0.8062643818438612,0.75,0.560283831640951,0.756578947368421,0.18625546168122456,0.625,0.6912928915817486,0.5,0.785784843210898,0.5,0.0814571884979909,0.5855263157894737,v4_m60,0.8892362036020629
dumbbell,6,0.0,0.8265556267169364,0.9871794871794872,0.8674553245865971,0.916454915609749,1.0,0.8514249671654038,0.75,0.3979531195215897,0.7371794871794872,0.13198556214489182,0.75,0.6508560782269106,0.5,0.8256063317287755,0.5,-0.005781145891043391,0.5705128205128205,v4_m60,0.916454915609749
dumbbell,6,0.15,0.6044594747965308,0.9807692307692308,0.8669958616140461,0.8214791869011985,0.75,0.787863477595825,1.0,0.3496021656629229,0.6666666666666666,0.1480223826457184,0.75,0.6463480428921585,0.5,0.8495508093982508,0.5,0.11003534088130361,0.5384615384615384,frac,0.8495508093982508
necklace,3,0.0,0.9204168519803019,0.9512820512820512,0.9157206669513248,0.9737102655081369,0.958974358974359,0.9637169801731658,0.9923076923076923,0.784229219835152,0.8512820512820513,0.9526728149535072,0.5333333333333333,0.895150031188285,0.5538461538461539,0.8622512017998513,0.9128205128205129,0.6282236369346884,0.676923076923077,v4_m60,0.9737102655081369
necklace,3,0.15,0.9367349628975532,0.9333333333333333,0.9102512339817697,0.9518685751411862,0.9,0.9645785309145632,0.9846153846153847,0.740218249386314,0.8358974358974359,0.945195131144012,0.6,0.8987661116527605,0.5230769230769231,0.8440182755715832,0.9538461538461538,0.608988021039044,0.7538461538461538,v4_m120,0.9645785309145632
necklace,4,0.0,0.9272382532066251,0.9927536231884058,0.9165237027330562,0.9632754904496138,0.9545454545454546,0.9637639577114487,0.7272727272727273,0.6930557543249869,0.6818181818181819,0.8640493195175611,0.5,0.7495340964769606,0.5,0.6910505547982173,0.2727272727272727,0.35625900703211333,0.644927536231884,v4_m120,0.9637639577114487
necklace,4,0.15,0.8762889418940865,0.9018445322793149,0.8357058865858371,0.9329946312978072,0.8181818181818181,0.9466634949693276,0.7272727272727273,0.673277600958306,0.7766798418972332,0.8338526436810209,0.5,0.766208054265129,0.5,0.6666043408665363,0.18181818181818182,0.46111717781949374,0.6284584980237153,v4_m120,0.9466634949693276
necklace,5,0.0,0.25076981667133874,0.9571428571428571,0.12920693997221558,-0.0487437587569278,0.6357142857142857,-0.06613851873759165,0.5857142857142857,0.14359747196789577,0.7214285714285714,0.29765464276920095,0.4857142857142857,0.06810024218349466,0.5,-0.5364910667139081,0.1,-0.17240271948810054,0.5,frac,-0.5364910667139081
necklace,5,0.15,0.23097168931388234,0.8785714285714286,0.10528227653980556,0.012979782489722001,0.5857142857142857,-0.06567058387313572,0.5857142857142857,0.11893006308063514,0.6499999999999999,0.2909617491106379,0.5357142857142857,0.09623334021239872,0.5,-0.5148491998849325,0.1,0.15681281153355298,0.5,frac,-0.5148491998849325
necklace,6,0.0,0.25828979348810616,0.9097222222222222,-0.17477144801981043,-0.19568315163316644,0.5486111111111112,-0.2798001308990656,0.4861111111111111,-0.2997401459764102,0.4791666666666667,0.13006585375853894,0.4861111111111111,0.04586667760000002,0.5,,0.0,0.02332433586530106,0.5,v3_defect,-0.2997401459764102
necklace,6,0.15,0.2590854674143943,0.9166666666666667,-0.3708842860594835,-0.1594086411616387,0.4861111111111111,-0.2595255926257162,0.5486111111111112,-0.2534844158551097,0.5833333333333334,0.11559499355672435,0.4861111111111111,0.0375301436232542,0.5,,0.0,0.0016375458059365493,0.5,v4_m120,-0.2595255926257162
