kind,dim,ks,integ_sign,integ_mag,iso,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
torus,2,0.0,-0.48599192313524575,-2.580720950147745,-0.1389627224724735,-1.6918776930897005e-17,-9.447576150784514e-17,0.006653364090988593,-6.835313765948197,-5.2833547539329535,-0.0,0.07882243867630916
torus,2,0.0,-0.48599192313524575,-2.580720950147745,-0.1389627224724735,9.93424394471027e-17,-2.3549950584389876e-18,0.004609090899518157,-6.834324983894792,-5.3349904960688175,-0.0,0.04060075684062715
torus,2,0.0,-0.49434640185391526,-2.663401783107497,-0.1389627224724735,-9.114858887241967e-17,4.0405874665524754e-17,-0.007824059546966624,-6.84630511665059,-5.4034433310833725,-0.0,0.06092458774464459
torus,2,0.0,-0.4933591807592833,-2.6384211926227548,-0.1389627224724735,-5.6289431314168505e-18,1.42298316873739e-16,-0.00953188107153527,-6.855706670414337,-5.29754495090973,-0.0,0.0640785216940412
torus,2,0.0,-0.4823892039761872,-2.3776629148644335,-0.1389627224724735,1.949019810785188e-16,-1.2913787139406455e-17,-0.006958197496982099,-6.827059059751518,-5.236376757153759,-0.0,0.03957694860418144
torus,2,0.0,-0.49434640185391526,-2.663401783107497,-0.1389627224724735,-9.644280657382518e-17,3.17586368733098e-17,0.0021479544013316395,-6.856748183327206,-5.387232298232152,-0.0,0.06765010039297335
torus,2,0.0,-0.49368457083922956,-2.5329399183374743,-0.1389627224724735,-3.745127207110944e-18,2.102346288647227e-16,0.00518745135477156,-6.835811931909051,-5.239657873636074,-0.0,0.07828262220470704
torus,2,0.0,-0.49368457083922956,-2.4752396758624644,-0.1389627224724735,9.59925050862586e-17,4.980492561313043e-17,-0.005205162422258061,-6.817548245499451,-5.194015974572829,-0.0,0.052186706779537934
sphere,2,4.936909979791477,-0.4954217924483569,-3.149894535144386,-0.1389627224724735,0.007271563401050676,0.015089151633505857,0.012929506464580885,-6.661471851895681,-5.295278543899057,-0.062499999937499995,0.13647207881219198
sphere,2,4.936909979791477,-0.4857063201474753,-3.039705082316237,-0.1389627224724735,0.009056780281276712,0.016819098126792446,0.0004868857005615829,-6.632314351594016,-5.1349158235699175,-0.0,0.15553691696176355
sphere,2,4.936909979791477,-0.4891924801718162,-3.039705082316237,-0.1389627224724735,0.007734085747289567,0.016104521220774763,0.007200637781020287,-6.6451153178245415,-5.1441297479686625,-0.0,0.10846076207927977
sphere,2,4.936909979791477,-0.49488520305744266,-3.0444132608591055,-0.1389627224724735,0.008395128612696106,0.01646595980668737,0.009498669340044777,-6.632168324201176,-5.128357882139708,-0.0,0.1357034771979646
sphere,2,4.936909979791477,-0.49324821220063214,-3.356979815499948,-0.1389627224724735,0.007761241242289798,0.01586520644531558,0.008915182159283963,-6.620207766266001,-5.056602472970741,-0.0,0.09393278607912343
sphere,2,4.936909979791477,-0.4891924801718162,-3.039705082316237,-0.1389627224724735,0.00830682716168958,0.016495088140599037,0.001948591268816989,-6.635367133797855,-5.087976450600499,-0.0,0.13979156174975402
sphere,2,4.936909979791477,-0.4875774443295045,-3.3307824013028284,-0.1389627224724735,0.005794708072645901,0.014224691521581692,0.016661456740085807,-6.586215256897892,-4.977932925014742,-0.0,0.12405518322823654
sphere,2,4.936909979791477,-0.4893705066662671,-2.8937718970135835,-0.1389627224724735,0.008354792330367174,0.01831588554377996,-0.00802639421911866,-6.596511609493092,-4.975716585905631,-0.0,0.10582508263102257
hyperbolic,2,-3.7855703091523596,-0.49462368139985285,-2.5579205088222166,-0.1389627224724735,-0.008163584407731607,-0.014408019560396581,0.008458283659184176,-6.206370623081864,-4.960379595564523,-0.3124999996875,0.25669757689068695
hyperbolic,2,-3.7855703091523596,-0.4868924260553328,-2.329306490559811,-0.1389627224724735,-0.006108025700748165,-0.012104267593266266,-0.011968075967501256,-6.438333114396479,-5.075643534353067,-0.12499999987499999,-0.018523267958024916
hyperbolic,2,-3.7855703091523596,-0.4868924260553328,-2.3569641145261255,-0.1389627224724735,-0.006169001050596459,-0.012893302077014022,0.005314277622193395,-6.166611182082493,-4.792642588591146,-0.0,0.2698336635849208
hyperbolic,2,-3.7855703091523596,-0.33529394021496906,-1.4173508637337908,-0.1389627224724735,-0.005784905341780562,-0.010602557582540176,0.03665599082720451,-6.051451123207874,-4.347508902970606,-0.0,0.43404320815553366
hyperbolic,2,-3.7855703091523596,-0.48759104076215004,-2.3398697017461427,-0.1389627224724735,-0.004619201368071674,-0.010332149064158112,0.017336563703268262,-6.346198530062055,-5.108840460436814,-0.062499999937499995,-0.01640964063348747
hyperbolic,2,-3.7855703091523596,-0.48667345483904,-2.441515858208355,-0.1389627224724735,-0.0068464600652081665,-0.013149314909037866,0.02150710827793494,-6.125982909867002,-4.826902384699465,-0.0,0.2402429842951465
hyperbolic,2,-3.7855703091523596,-0.4823892039761872,-2.4752396758624644,-0.1389627224724735,-0.0062913543124099225,-0.012453976156784377,0.003049121934493701,-6.180250025704151,-4.957924837876547,-0.0,0.12795035011656636
hyperbolic,2,-3.7855703091523596,-0.4874439298780903,-2.3569641145261255,-0.1389627224724735,-0.005147040114944938,-0.009622067318001817,0.02572638237199613,-6.146689599812008,-4.901806826458056,-0.0,0.21471365028210201
