dataset,ref,dim,n,sign_integ_warped,sign_integ_aug,sign_v4_m60,sign_v4_m120,sign_v3_defect,sign_sent,sign_ent_cak,sign_kappa,v6_sign
E3 colosseum,torus,2,60,0.5,0.5,0.5,0.5,0.5421245421245421,0.5293040293040293,0.5,0.684981684981685,0.7
E3 colosseum,torus,3,60,0.5,0.5,0.5,0.5,0.5,0.5934065934065934,0.5,0.5,0.51
E3 colosseum,torus,4,60,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,0.5,0.5,0.52
E3 colosseum,torus,5,60,0.5,0.5,0.5,0.6145833333333334,0.5,0.5,0.5,0.5,0.76
E3 colosseum,torus,6,60,0.5,0.5,0.6699999999999999,0.5,0.5,0.5,0.5,0.5,0.93
E3 colosseum,embedded,2,60,0.5238095238095238,0.5,0.5,0.5,0.489010989010989,0.5293040293040293,0.5934065934065934,0.6538461538461539,0.7
E3 colosseum,embedded,3,60,0.717948717948718,0.5238095238095238,0.5,0.5,0.5,0.5421245421245421,0.663003663003663,0.5256410256410257,0.51
E3 colosseum,embedded,4,60,0.7555555555555555,0.5,0.5,0.5,0.5,0.5,0.8111111111111111,0.7555555555555555,0.52
E3 colosseum,embedded,5,60,0.6979166666666667,0.5104166666666666,0.5,0.5,0.5,0.5,0.65625,0.6770833333333334,0.76
E3 colosseum,embedded,6,60,0.66,0.5,0.5,0.5,0.5,0.5,0.79,0.6,0.93
