v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,inst_id,ks,dim,shape,name,integ_sign,integ_mag,iso
-8814492.114498742,-20075884.32972862,0.29681774526891436,-4.074040553271886,-6.001866224353882,0.20412412923193277,-3.0289903189616596,3.0,0.1818456020166336,0.0704326430069525,0.2355098109734108,0,2000,2,0,-8.0,2,Saddle,2-Saddle,-0.4853931044949391,-4.7540599612393395,-1.0111551417900366
-4666161.707364694,-9789024.361221131,1.1846813534362344,3.721594925366825,-0.5371891888082356,0.20412412923193277,2.109929816429678,3.0,0.1983409234047897,0.1044878016856244,0.342786411893927,0,2000,2,1,2.0,2,Sphere,2-Sphere,-0.480630322389046,-0.23945104558114497,-1.0111551417900366
3.761383837339454,4.38045652908995,-0.3829062349050317,1.8027281575154237,-3.947934689675253,0.20412412923193277,-2.078307502216066,2.0,0.1687080130139112,0.051355227438193,0.2518108660545157,0,2000,2,2,0.0,2,Plane,2-Plane,-0.45041269436788006,-0.1905926297926699,0.2433635019652748
-11415791.945016934,-23308854.55042684,2.3517938670517484,-3.2449518279702545,-7.701508032377515,0.20412412923193277,-5.087924531752534,3.0,0.1883179571399059,0.0596832816560323,0.2282366923377042,0,2000,2,3,-8.0,2,Saddle,2-Saddle,-0.48313460378794,-3.632748115667548,-1.0111551417900366
-6811892.740397116,-12334901.00692601,1.163875945627039,4.443690749230969,2.3405870999302416,0.20412412923193277,2.7548560402499573,3.0,0.194672351372416,0.1277499008604236,0.3825396237956565,0,2000,2,4,2.0,2,Sphere,2-Sphere,-0.15214856983395814,0.15355314044699447,-1.0111551417900366
6.380831454868375,8.577059105565096,-0.7246444430913099,0.7929346353041679,-3.1909893427953153,0.20412412923193277,-1.3454407716408272,2.0,0.1747339484947727,0.0724417778788127,0.286107042490498,0,2000,2,5,0.0,2,Plane,2-Plane,-0.23399463513076457,0.04174784881879645,0.2433635019652748
-11394151.628556281,-26223924.765625235,0.9519575918001992,-3.6958731789080534,-6.836992980784126,0.20412412923193277,-3.1559518443668386,3.0,0.1932810753802796,0.0659574815634,0.2372282111792478,0,2000,2,6,-8.0,2,Saddle,2-Saddle,-0.4925961788451247,-4.630319244776299,-1.0111551417900366
-3137359.6290735835,-9289996.125006575,2.2876043170228035,4.793232552768922,-0.13483149889003448,0.20412412923193277,1.3090626947801374,3.0,0.1948279256447022,0.1054017129189129,0.3173626397817253,0,2000,2,7,2.0,2,Sphere,2-Sphere,-0.37413109290635804,-0.06351125204833445,-1.0111551417900366
10.007939753348435,7.422819915623556,-0.3382036158034548,-0.26153514836397507,-3.2949951264809485,0.20412412923193277,-0.5633622489183417,2.0,0.1753289631394441,0.0752985241952302,0.26412511655028,0,2000,2,8,0.0,2,Plane,2-Plane,-0.2246459669841931,-0.6079820961811454,0.2433635019652748
-10038602.501631454,-23254200.310699686,2.125531138991279,-4.725266291760476,-7.2340834877321925,-4.694854972334454,-4.234152525885641,3.0,0.1922769265895821,0.0760109949079486,0.2206879560061795,0,2000,2,9,-8.0,2,Saddle,2-Saddle,-0.4829529004339239,-3.7755772351106156,-1.0111551417900366
