kind,dim,noise,field_r,balsign,corr_v3,flatnull_med,flatnull_iqr
dumbbell,3,0.0,0.008216282569911113,0.5765765765765766,0.29198074299249005,,
dumbbell,3,0.15,0.031211478341627106,0.5585585585585586,0.5027079892744561,,
dumbbell,4,0.0,0.004323745137802915,0.4407894736842105,0.22770166637770553,,
dumbbell,4,0.15,0.07746872474105902,0.6118421052631579,0.20366521021234066,,
dumbbell,5,0.0,-0.022648982539838845,0.32894736842105265,0.09767933760657803,,
dumbbell,5,0.15,-0.11551877816332722,0.14473684210526316,0.13361302541540207,,
dumbbell,6,0.0,-0.05956743443816756,0.01282051282051282,-0.02657311798641539,,
dumbbell,6,0.15,0.08185287384702761,0.03205128205128205,0.016944067903480988,,
necklace,3,0.0,-0.10711157079681646,0.49230769230769234,0.19828438022745237,,
necklace,3,0.15,-0.08637716264841284,0.4358974358974359,0.3058666534989303,,
necklace,4,0.0,0.0602269948110679,0.4756258234519104,0.32495562165668035,,
necklace,4,0.15,0.10501778711804148,0.5158102766798419,0.27075719585512803,,
necklace,5,0.0,-0.09757899367729951,0.10714285714285714,0.04990837555585433,,
necklace,5,0.15,-0.04237090437299274,0.2,0.1468348422673963,,
necklace,6,0.0,0.046017597368193636,0.05555555555555555,0.07264112344462322,,
necklace,6,0.15,-0.01283544056425485,0.0,0.0024191407365904125,,
torus,3,0.0,,,,0.004963460932247844,0.01069425433053202
torus,3,0.15,,,,0.008442489232860093,0.01705190673052471
torus,4,0.0,,,,0.0022365964059013494,0.00374074234472125
torus,4,0.15,,,,0.003037344516214858,0.007465566576288631
torus,5,0.0,,,,0.0,0.0
torus,5,0.15,,,,0.0,0.0
torus,6,0.0,,,,0.0,0.0
torus,6,0.15,,,,0.0,0.0
