config,kind,dim,noise,field_r,balsign,flatnull_med,flatnull_iqr
cak_n4|t2|b2.0|dij2,dumbbell,3,0.0,0.6607237210461256,0.9797297297297297,,
cak_n4|t2|b2.0|dij2,dumbbell,3,0.05,0.5642020551464684,0.9662162162162162,,
cak_n4|t2|b2.0|dij2,dumbbell,3,0.15,0.4575666644449786,0.8243243243243243,,
cak_n4|t2|b2.0|dij2,dumbbell,4,0.0,0.8149748450471397,1.0,,
cak_n4|t2|b2.0|dij2,dumbbell,4,0.05,0.7507314697801839,0.986842105263158,,
cak_n4|t2|b2.0|dij2,dumbbell,4,0.15,0.6122136684437375,0.9342105263157895,,
cak_n4|t2|b2.0|dij2,dumbbell,5,0.0,0.5345372202099771,0.618421052631579,,
cak_n4|t2|b2.0|dij2,dumbbell,5,0.05,0.527338308084388,0.7236842105263157,,
cak_n4|t2|b2.0|dij2,dumbbell,5,0.15,0.5586590084649613,0.7828947368421053,,
cak_n4|t2|b2.0|dij2,dumbbell,6,0.0,0.3806237960889438,0.75,,
cak_n4|t2|b2.0|dij2,dumbbell,6,0.05,0.43040364680120485,0.9807692307692308,,
cak_n4|t2|b2.0|dij2,dumbbell,6,0.15,0.37164888939231516,0.6923076923076923,,
cak_n4|t2|b2.0|dij2,necklace,3,0.0,0.7851356859891901,0.8769230769230769,,
cak_n4|t2|b2.0|dij2,necklace,3,0.05,0.8329684775865086,0.7538461538461538,,
cak_n4|t2|b2.0|dij2,necklace,3,0.15,0.740940812825321,0.7974358974358975,,
cak_n4|t2|b2.0|dij2,necklace,4,0.0,0.6903718595892189,0.6600790513833992,,
cak_n4|t2|b2.0|dij2,necklace,4,0.05,0.7268609396500185,0.7127799736495388,,
cak_n4|t2|b2.0|dij2,necklace,4,0.15,0.672466647740719,0.8386034255599473,,
cak_n4|t2|b2.0|dij2,necklace,5,0.0,0.1426872208218825,0.7214285714285714,,
cak_n4|t2|b2.0|dij2,necklace,5,0.05,0.07137165290250322,0.7285714285714286,,
cak_n4|t2|b2.0|dij2,necklace,5,0.15,0.11935556426024811,0.6499999999999999,,
cak_n4|t2|b2.0|dij2,necklace,6,0.0,-0.3107446230103364,0.4861111111111111,,
cak_n4|t2|b2.0|dij2,necklace,6,0.05,-0.3164779189815575,0.4791666666666667,,
cak_n4|t2|b2.0|dij2,necklace,6,0.15,-0.25337708200112236,0.6527777777777778,,
cak_n4|t2|b2.0|dij2,torus,3,0.0,,,0.043081469543406976,0.0794540866824738
cak_n4|t2|b2.0|dij2,torus,3,0.05,,,0.055132574882833185,0.08130727134283049
cak_n4|t2|b2.0|dij2,torus,3,0.15,,,0.14825405857194973,0.1460059578129526
cak_n4|t2|b2.0|dij2,torus,4,0.0,,,0.04520409690160844,0.09549205042613043
cak_n4|t2|b2.0|dij2,torus,4,0.05,,,0.0487922736464916,0.08966562104064042
cak_n4|t2|b2.0|dij2,torus,4,0.15,,,0.14620867540594817,0.1270196581157269
cak_n4|t2|b2.0|dij2,torus,5,0.0,,,0.07055686467631705,0.1143086523810346
cak_n4|t2|b2.0|dij2,torus,5,0.05,,,0.055674894223996546,0.12585328586901773
cak_n4|t2|b2.0|dij2,torus,5,0.15,,,0.13986633851972466,0.1758610649916977
cak_n4|t2|b2.0|dij2,torus,6,0.0,,,0.036898151964608356,0.06584157979193193
cak_n4|t2|b2.0|dij2,torus,6,0.05,,,0.03266456625533143,0.0619531047374981
cak_n4|t2|b2.0|dij2,torus,6,0.15,,,0.09760509649382536,0.07759055646395285
cak_n4|t2|b2.0|raw,dumbbell,3,0.0,0.6609341426467112,0.9797297297297297,,
