config,kind,dim,seed,noise,p,score,ks
resid_n|true|m30|single,dumbbell,3,0,0.0,208,-0.11282412241048763,-162.54995942432336
resid_n|true|m30|single,dumbbell,3,0,0.0,511,-0.04603650159285758,-74.95970203819603
resid_n|true|m30|single,dumbbell,3,0,0.0,636,-0.01604422058041673,-27.1880401803554
resid_n|true|m30|single,dumbbell,3,0,0.0,1356,0.009529146717628034,6.24938970303236
resid_n|true|m30|single,dumbbell,3,0,0.0,1148,0.015576056467706064,9.357205730340135
resid_n|true|m30|single,dumbbell,3,0,0.0,1060,0.01665439329675742,9.73978173531225
resid_n|true|m30|single,dumbbell,3,0,0.0,1328,0.018659506695747747,10.343539587606124
resid_n|true|m30|single,dumbbell,3,0,0.0,957,0.021339832646303226,11.113889196786833
resid_n|true|m30|single,dumbbell,3,0,0.0,248,0.02127807999917581,12.499387785590539
resid_n|true|m30|single,dumbbell,3,0,0.0,291,0.023940051153124958,13.201132412371196
resid_n|true|m30|single,dumbbell,3,0,0.0,282,0.020093363054278505,14.33135331399123
resid_n|true|m30|single,dumbbell,3,0,0.0,1390,0.021690947384252722,15.412582687607921
resid_n|true|m30|single,dumbbell,3,0,0.0,417,0.02268254918068103,16.94999942537549
resid_n|true|m30|single,dumbbell,3,0,0.0,21,0.02390637627881658,18.407492805442413
resid_n|true|m30|single,dumbbell,3,0,0.0,1026,0.02503166041461535,19.742888200636123
resid_n|true|m30|single,dumbbell,3,0,0.0,944,0.022130161741697137,20.93109518575691
resid_n|true|m30|single,dumbbell,3,0,0.0,759,0.029915118795545675,22.262073710848544
resid_n|true|m30|single,dumbbell,3,0,0.0,49,0.03928277945129981,23.946187561847466
resid_n|true|m30|single,dumbbell,3,0,0.0,1197,0.02909116553674204,25.32533056307868
resid_n|true|m30|single,dumbbell,3,0,0.0,1039,0.03244279599780287,26.66994041952738
resid_n|true|m30|single,dumbbell,3,0,0.0,769,0.03302830193518602,28.08929574552609
resid_n|true|m30|single,dumbbell,3,0,0.0,994,0.030593846183109875,29.45990972926113
resid_n|true|m30|single,dumbbell,3,0,0.0,662,0.03510532279942919,31.275425390450874
resid_n|true|m30|single,dumbbell,3,0,0.0,973,0.039897280913386145,32.66678464124537
resid_n|true|m30|single,dumbbell,3,0,0.0,1326,0.03681293741354716,34.09772237779084
resid_n|true|m30|single,dumbbell,3,0,0.0,1123,0.036154052729033215,35.112467794463434
resid_n|true|m30|single,dumbbell,3,0,0.0,1035,0.03956323889716462,36.73115980052288
resid_n|true|m30|single,dumbbell,3,0,0.0,235,0.04097111774686575,38.10959482144626
resid_n|true|m30|single,dumbbell,3,0,0.0,1302,0.031162055358957445,39.18817135356253
resid_n|true|m30|single,dumbbell,3,0,0.0,430,0.04527621110551577,40.712697724084435
resid_n|true|m30|single,dumbbell,3,0,0.0,1388,0.03657519620824063,41.681986434549394
resid_n|true|m30|single,dumbbell,3,0,0.0,491,0.03564172687592287,42.77001054169692
resid_n|true|m30|single,dumbbell,3,0,0.0,604,0.04123203349528158,43.79716356336398
resid_n|true|m30|single,dumbbell,3,0,0.0,1337,0.04454059439283593,44.68615129783242
resid_n|true|m30|single,dumbbell,3,0,0.0,65,0.04301878341283974,45.233125417757044
resid_n|true|m30|single,dumbbell,3,0,0.0,493,0.034302161993221246,45.780305866886444
resid_n|true|m30|single,dumbbell,3,0,0.0,874,0.04148235601608756,46.19927172362648
resid_n|true|m30|single,dumbbell,3,0,0.0,47,0.044721704573539,46.58109716146477
resid_n|true|m30|single,dumbbell,3,0,0.0,858,0.04379161978372197,46.78366100056525
resid_n|true|m30|single,dumbbell,3,0,0.0,463,0.0466669008453633,46.88050407989436
resid_n|true|m60|single,dumbbell,3,0,0.0,208,-0.19236485943111292,-162.54995942432336
resid_n|true|m60|single,dumbbell,3,0,0.0,511,-0.0729275201310217,-74.95970203819603
resid_n|true|m60|single,dumbbell,3,0,0.0,636,-0.02972018089927699,-27.1880401803554
resid_n|true|m60|single,dumbbell,3,0,0.0,1356,-0.01998746882671833,6.24938970303236
resid_n|true|m60|single,dumbbell,3,0,0.0,1148,0.019467787149193252,9.357205730340135
resid_n|true|m60|single,dumbbell,3,0,0.0,1060,0.02394402212986778,9.73978173531225
resid_n|true|m60|single,dumbbell,3,0,0.0,1328,0.023888990585308658,10.343539587606124
resid_n|true|m60|single,dumbbell,3,0,0.0,957,0.026123883977846922,11.113889196786833
resid_n|true|m60|single,dumbbell,3,0,0.0,248,0.029183704113452297,12.499387785590539
resid_n|true|m60|single,dumbbell,3,0,0.0,291,0.03576084349167726,13.201132412371196
resid_n|true|m60|single,dumbbell,3,0,0.0,282,0.03394590592671865,14.33135331399123
resid_n|true|m60|single,dumbbell,3,0,0.0,1390,0.03649796470444237,15.412582687607921
resid_n|true|m60|single,dumbbell,3,0,0.0,417,0.036335507450046024,16.94999942537549
resid_n|true|m60|single,dumbbell,3,0,0.0,21,0.039804218384107644,18.407492805442413
resid_n|true|m60|single,dumbbell,3,0,0.0,1026,0.036493331782439804,19.742888200636123
resid_n|true|m60|single,dumbbell,3,0,0.0,944,0.041155884612801376,20.93109518575691
resid_n|true|m60|single,dumbbell,3,0,0.0,759,0.0437110187534013,22.262073710848544
resid_n|true|m60|single,dumbbell,3,0,0.0,49,0.05647172397528084,23.946187561847466
resid_n|true|m60|single,dumbbell,3,0,0.0,1197,0.043180623370845224,25.32533056307868
resid_n|true|m60|single,dumbbell,3,0,0.0,1039,0.03295838017543477,26.66994041952738
resid_n|true|m60|single,dumbbell,3,0,0.0,769,0.050536611888675476,28.08929574552609
resid_n|true|m60|single,dumbbell,3,0,0.0,994,0.04767996093358457,29.45990972926113
resid_n|true|m60|single,dumbbell,3,0,0.0,662,0.052169284907503825,31.275425390450874
resid_n|true|m60|single,dumbbell,3,0,0.0,973,0.051611935795375874,32.66678464124537
resid_n|true|m60|single,dumbbell,3,0,0.0,1326,0.057813112173899686,34.09772237779084
resid_n|true|m60|single,dumbbell,3,0,0.0,1123,0.05609678072159073,35.112467794463434
resid_n|true|m60|single,dumbbell,3,0,0.0,1035,0.05610182120425657,36.73115980052288
resid_n|true|m60|single,dumbbell,3,0,0.0,235,0.046365194151023054,38.10959482144626
resid_n|true|m60|single,dumbbell,3,0,0.0,1302,0.046408726362407414,39.18817135356253
resid_n|true|m60|single,dumbbell,3,0,0.0,430,0.056666045796772285,40.712697724084435
resid_n|true|m60|single,dumbbell,3,0,0.0,1388,0.04661288229122663,41.681986434549394
resid_n|true|m60|single,dumbbell,3,0,0.0,491,0.05502924090222304,42.77001054169692
resid_n|true|m60|single,dumbbell,3,0,0.0,604,0.057422431205201845,43.79716356336398
resid_n|true|m60|single,dumbbell,3,0,0.0,1337,0.05681407224612285,44.68615129783242
resid_n|true|m60|single,dumbbell,3,0,0.0,65,0.06191057517545908,45.233125417757044
resid_n|true|m60|single,dumbbell,3,0,0.0,493,0.05034593922913425,45.780305866886444
resid_n|true|m60|single,dumbbell,3,0,0.0,874,0.05962307879923818,46.19927172362648
resid_n|true|m60|single,dumbbell,3,0,0.0,47,0.06107257388868927,46.58109716146477
resid_n|true|m60|single,dumbbell,3,0,0.0,858,0.056644077521513396,46.78366100056525
resid_n|true|m60|single,dumbbell,3,0,0.0,463,0.055959788172639226,46.88050407989436
resid_n|true|m120|single,dumbbell,3,0,0.0,208,-0.27998402427284036,-162.54995942432336
resid_n|true|m120|single,dumbbell,3,0,0.0,511,-0.11821600083284024,-74.95970203819603
resid_n|true|m120|single,dumbbell,3,0,0.0,636,-0.055647344063468655,-27.1880401803554
resid_n|true|m120|single,dumbbell,3,0,0.0,1356,-0.040925168779275135,6.24938970303236
resid_n|true|m120|single,dumbbell,3,0,0.0,1148,0.03150731615506636,9.357205730340135
resid_n|true|m120|single,dumbbell,3,0,0.0,1060,0.03539312849681854,9.73978173531225
resid_n|true|m120|single,dumbbell,3,0,0.0,1328,0.03596732155086209,10.343539587606124
resid_n|true|m120|single,dumbbell,3,0,0.0,957,0.04065167215255478,11.113889196786833
resid_n|true|m120|single,dumbbell,3,0,0.0,248,0.04697585338557709,12.499387785590539
resid_n|true|m120|single,dumbbell,3,0,0.0,291,0.05195159664333619,13.201132412371196
resid_n|true|m120|single,dumbbell,3,0,0.0,282,0.05470526466714505,14.33135331399123
resid_n|true|m120|single,dumbbell,3,0,0.0,1390,0.05230787243764221,15.412582687607921
resid_n|true|m120|single,dumbbell,3,0,0.0,417,0.05406664950029179,16.94999942537549
resid_n|true|m120|single,dumbbell,3,0,0.0,21,0.06381768113575434,18.407492805442413
resid_n|true|m120|single,dumbbell,3,0,0.0,1026,0.06143209829720955,19.742888200636123
resid_n|true|m120|single,dumbbell,3,0,0.0,944,0.061145586756764174,20.93109518575691
resid_n|true|m120|single,dumbbell,3,0,0.0,759,0.06583376039933658,22.262073710848544
resid_n|true|m120|single,dumbbell,3,0,0.0,49,0.07860860990183578,23.946187561847466
resid_n|true|m120|single,dumbbell,3,0,0.0,1197,0.0739728321332561,25.32533056307868
resid_n|true|m120|single,dumbbell,3,0,0.0,1039,0.007617247974290595,26.66994041952738
resid_n|true|m120|single,dumbbell,3,0,0.0,769,0.0750677721417146,28.08929574552609
resid_n|true|m120|single,dumbbell,3,0,0.0,994,0.030362673222513296,29.45990972926113
resid_n|true|m120|single,dumbbell,3,0,0.0,662,0.06962856599514074,31.275425390450874
resid_n|true|m120|single,dumbbell,3,0,0.0,973,0.07889711084539341,32.66678464124537
resid_n|true|m120|single,dumbbell,3,0,0.0,1326,0.07955349043314154,34.09772237779084
resid_n|true|m120|single,dumbbell,3,0,0.0,1123,0.07920571100548583,35.112467794463434
resid_n|true|m120|single,dumbbell,3,0,0.0,1035,0.07678192137655244,36.73115980052288
resid_n|true|m120|single,dumbbell,3,0,0.0,235,0.0463822046469483,38.10959482144626
resid_n|true|m120|single,dumbbell,3,0,0.0,1302,0.05126376765721899,39.18817135356253
resid_n|true|m120|single,dumbbell,3,0,0.0,430,0.05145933602812205,40.712697724084435
resid_n|true|m120|single,dumbbell,3,0,0.0,1388,0.05156455144823419,41.681986434549394
resid_n|true|m120|single,dumbbell,3,0,0.0,491,0.07675324119741996,42.77001054169692
resid_n|true|m120|single,dumbbell,3,0,0.0,604,0.07539600824854158,43.79716356336398
resid_n|true|m120|single,dumbbell,3,0,0.0,1337,0.05702926018539585,44.68615129783242
resid_n|true|m120|single,dumbbell,3,0,0.0,65,0.07798277028295514,45.233125417757044
resid_n|true|m120|single,dumbbell,3,0,0.0,493,0.06390288216104795,45.780305866886444
resid_n|true|m120|single,dumbbell,3,0,0.0,874,0.07636818941771624,46.19927172362648
resid_n|true|m120|single,dumbbell,3,0,0.0,47,0.07254859046416122,46.58109716146477
resid_n|true|m120|single,dumbbell,3,0,0.0,858,0.07163462626596,46.78366100056525
resid_n|true|m120|single,dumbbell,3,0,0.0,463,0.06840345401327864,46.88050407989436
resid_n|true|m30|single,dumbbell,3,0,0.15,208,-0.09633543781399731,-162.54995942432336
resid_n|true|m30|single,dumbbell,3,0,0.15,511,-0.05171313145760149,-74.95970203819603
resid_n|true|m30|single,dumbbell,3,0,0.15,636,0.008441438908683164,-27.1880401803554
resid_n|true|m30|single,dumbbell,3,0,0.15,1356,0.022799423797213413,6.24938970303236
resid_n|true|m30|single,dumbbell,3,0,0.15,1148,0.04680243906999595,9.357205730340135
resid_n|true|m30|single,dumbbell,3,0,0.15,1060,0.016611236928415256,9.73978173531225
resid_n|true|m30|single,dumbbell,3,0,0.15,1328,0.02696818329054837,10.343539587606124
resid_n|true|m30|single,dumbbell,3,0,0.15,957,0.051176686538023534,11.113889196786833
resid_n|true|m30|single,dumbbell,3,0,0.15,248,0.028212256460311225,12.499387785590539
resid_n|true|m30|single,dumbbell,3,0,0.15,291,0.05043987074380676,13.201132412371196
resid_n|true|m30|single,dumbbell,3,0,0.15,282,0.024435439466750825,14.33135331399123
resid_n|true|m30|single,dumbbell,3,0,0.15,1390,0.05487029034803545,15.412582687607921
resid_n|true|m30|single,dumbbell,3,0,0.15,417,0.05934109266464803,16.94999942537549
resid_n|true|m30|single,dumbbell,3,0,0.15,21,0.05369772870975496,18.407492805442413
resid_n|true|m30|single,dumbbell,3,0,0.15,1026,0.0399796632513563,19.742888200636123
resid_n|true|m30|single,dumbbell,3,0,0.15,944,0.052709895094052044,20.93109518575691
resid_n|true|m30|single,dumbbell,3,0,0.15,759,0.08077086307729758,22.262073710848544
resid_n|true|m30|single,dumbbell,3,0,0.15,49,0.08691789096759242,23.946187561847466
resid_n|true|m30|single,dumbbell,3,0,0.15,1197,0.05125077164961516,25.32533056307868
resid_n|true|m30|single,dumbbell,3,0,0.15,1039,0.10115623895970384,26.66994041952738
resid_n|true|m30|single,dumbbell,3,0,0.15,769,0.033708996337949014,28.08929574552609
resid_n|true|m30|single,dumbbell,3,0,0.15,994,0.08463806169312217,29.45990972926113
resid_n|true|m30|single,dumbbell,3,0,0.15,662,0.06868125432480475,31.275425390450874
resid_n|true|m30|single,dumbbell,3,0,0.15,973,0.055891544500465386,32.66678464124537
resid_n|true|m30|single,dumbbell,3,0,0.15,1326,0.0697604084940014,34.09772237779084
resid_n|true|m30|single,dumbbell,3,0,0.15,1123,0.04763040957630177,35.112467794463434
resid_n|true|m30|single,dumbbell,3,0,0.15,1035,0.08692322616835814,36.73115980052288
resid_n|true|m30|single,dumbbell,3,0,0.15,235,0.05812885209488967,38.10959482144626
resid_n|true|m30|single,dumbbell,3,0,0.15,1302,0.06456490228023856,39.18817135356253
resid_n|true|m30|single,dumbbell,3,0,0.15,430,0.09994839214794413,40.712697724084435
resid_n|true|m30|single,dumbbell,3,0,0.15,1388,0.08606929847036834,41.681986434549394
resid_n|true|m30|single,dumbbell,3,0,0.15,491,0.08986648260397645,42.77001054169692
resid_n|true|m30|single,dumbbell,3,0,0.15,604,0.059174963857817876,43.79716356336398
resid_n|true|m30|single,dumbbell,3,0,0.15,1337,0.060223269805079076,44.68615129783242
resid_n|true|m30|single,dumbbell,3,0,0.15,65,0.08641467092152806,45.233125417757044
resid_n|true|m30|single,dumbbell,3,0,0.15,493,0.04020093388694945,45.780305866886444
resid_n|true|m30|single,dumbbell,3,0,0.15,874,0.05433146480127361,46.19927172362648
resid_n|true|m30|single,dumbbell,3,0,0.15,47,0.06122120491665205,46.58109716146477
resid_n|true|m30|single,dumbbell,3,0,0.15,858,0.06927019390873479,46.78366100056525
resid_n|true|m30|single,dumbbell,3,0,0.15,463,0.06677756078647896,46.88050407989436
resid_n|true|m60|single,dumbbell,3,0,0.15,208,-0.15624650576094287,-162.54995942432336
resid_n|true|m60|single,dumbbell,3,0,0.15,511,-0.06409728323259972,-74.95970203819603
resid_n|true|m60|single,dumbbell,3,0,0.15,636,-0.03721270067289016,-27.1880401803554
resid_n|true|m60|single,dumbbell,3,0,0.15,1356,-0.0036715943671092243,6.24938970303236
resid_n|true|m60|single,dumbbell,3,0,0.15,1148,0.021401417188683308,9.357205730340135
resid_n|true|m60|single,dumbbell,3,0,0.15,1060,0.02570462339375582,9.73978173531225
resid_n|true|m60|single,dumbbell,3,0,0.15,1328,0.03295735575120428,10.343539587606124
resid_n|true|m60|single,dumbbell,3,0,0.15,957,0.05523677780836204,11.113889196786833
resid_n|true|m60|single,dumbbell,3,0,0.15,248,0.04114598577890206,12.499387785590539
resid_n|true|m60|single,dumbbell,3,0,0.15,291,0.06773257788798927,13.201132412371196
resid_n|true|m60|single,dumbbell,3,0,0.15,282,0.042533550859011886,14.33135331399123
resid_n|true|m60|single,dumbbell,3,0,0.15,1390,0.043775586483209644,15.412582687607921
resid_n|true|m60|single,dumbbell,3,0,0.15,417,0.04564138293044246,16.94999942537549
resid_n|true|m60|single,dumbbell,3,0,0.15,21,0.048107626232271765,18.407492805442413
resid_n|true|m60|single,dumbbell,3,0,0.15,1026,0.05138607520164989,19.742888200636123
resid_n|true|m60|single,dumbbell,3,0,0.15,944,0.04758132298984529,20.93109518575691
resid_n|true|m60|single,dumbbell,3,0,0.15,759,0.0381802484313975,22.262073710848544
resid_n|true|m60|single,dumbbell,3,0,0.15,49,0.08052582745383915,23.946187561847466
resid_n|true|m60|single,dumbbell,3,0,0.15,1197,0.06445384531135961,25.32533056307868
resid_n|true|m60|single,dumbbell,3,0,0.15,1039,0.03435938437841289,26.66994041952738
resid_n|true|m60|single,dumbbell,3,0,0.15,769,0.0634788613625755,28.08929574552609
resid_n|true|m60|single,dumbbell,3,0,0.15,994,0.051003414533040733,29.45990972926113
resid_n|true|m60|single,dumbbell,3,0,0.15,662,0.05877172644696366,31.275425390450874
resid_n|true|m60|single,dumbbell,3,0,0.15,973,0.05139738853946005,32.66678464124537
resid_n|true|m60|single,dumbbell,3,0,0.15,1326,0.05772431716360666,34.09772237779084
resid_n|true|m60|single,dumbbell,3,0,0.15,1123,0.049351981596366064,35.112467794463434
resid_n|true|m60|single,dumbbell,3,0,0.15,1035,0.06442960128647364,36.73115980052288
resid_n|true|m60|single,dumbbell,3,0,0.15,235,0.06494592503679635,38.10959482144626
resid_n|true|m60|single,dumbbell,3,0,0.15,1302,0.060472794166138155,39.18817135356253
resid_n|true|m60|single,dumbbell,3,0,0.15,430,0.08046641334822649,40.712697724084435
resid_n|true|m60|single,dumbbell,3,0,0.15,1388,0.05611732182042744,41.681986434549394
resid_n|true|m60|single,dumbbell,3,0,0.15,491,0.06651609543722453,42.77001054169692
resid_n|true|m60|single,dumbbell,3,0,0.15,604,0.06838545787935262,43.79716356336398
resid_n|true|m60|single,dumbbell,3,0,0.15,1337,0.06922649223419561,44.68615129783242
resid_n|true|m60|single,dumbbell,3,0,0.15,65,0.07013304281250161,45.233125417757044
resid_n|true|m60|single,dumbbell,3,0,0.15,493,0.07474010885886567,45.780305866886444
resid_n|true|m60|single,dumbbell,3,0,0.15,874,0.07574218493490893,46.19927172362648
resid_n|true|m60|single,dumbbell,3,0,0.15,47,0.08112340539363215,46.58109716146477
resid_n|true|m60|single,dumbbell,3,0,0.15,858,0.06633558140343802,46.78366100056525
resid_n|true|m60|single,dumbbell,3,0,0.15,463,0.06636075246231674,46.88050407989436
resid_n|true|m120|single,dumbbell,3,0,0.15,208,-0.28780870309554285,-162.54995942432336
resid_n|true|m120|single,dumbbell,3,0,0.15,511,-0.07503441625743021,-74.95970203819603
resid_n|true|m120|single,dumbbell,3,0,0.15,636,-0.04896577788274314,-27.1880401803554
resid_n|true|m120|single,dumbbell,3,0,0.15,1356,-0.039632979744130686,6.24938970303236
resid_n|true|m120|single,dumbbell,3,0,0.15,1148,0.024686891036828734,9.357205730340135
resid_n|true|m120|single,dumbbell,3,0,0.15,1060,0.03257158013669533,9.73978173531225
resid_n|true|m120|single,dumbbell,3,0,0.15,1328,0.04127461699613491,10.343539587606124
resid_n|true|m120|single,dumbbell,3,0,0.15,957,0.04789797190493872,11.113889196786833
resid_n|true|m120|single,dumbbell,3,0,0.15,248,0.0507544550410501,12.499387785590539
resid_n|true|m120|single,dumbbell,3,0,0.15,291,0.06731953298741768,13.201132412371196
resid_n|true|m120|single,dumbbell,3,0,0.15,282,0.05057434451207191,14.33135331399123
resid_n|true|m120|single,dumbbell,3,0,0.15,1390,0.0501661086637778,15.412582687607921
resid_n|true|m120|single,dumbbell,3,0,0.15,417,0.05438561446010502,16.94999942537549
resid_n|true|m120|single,dumbbell,3,0,0.15,21,0.06895956826057571,18.407492805442413
resid_n|true|m120|single,dumbbell,3,0,0.15,1026,0.07003802948212162,19.742888200636123
resid_n|true|m120|single,dumbbell,3,0,0.15,944,0.06177351565180106,20.93109518575691
resid_n|true|m120|single,dumbbell,3,0,0.15,759,0.0718696854282212,22.262073710848544
resid_n|true|m120|single,dumbbell,3,0,0.15,49,0.08324382932246337,23.946187561847466
resid_n|true|m120|single,dumbbell,3,0,0.15,1197,0.08745055346414325,25.32533056307868
resid_n|true|m120|single,dumbbell,3,0,0.15,1039,0.025400603286427126,26.66994041952738
resid_n|true|m120|single,dumbbell,3,0,0.15,769,0.08053926098246171,28.08929574552609
resid_n|true|m120|single,dumbbell,3,0,0.15,994,0.01776306399818439,29.45990972926113
resid_n|true|m120|single,dumbbell,3,0,0.15,662,0.08685149644653951,31.275425390450874
resid_n|true|m120|single,dumbbell,3,0,0.15,973,0.07774454636538289,32.66678464124537
resid_n|true|m120|single,dumbbell,3,0,0.15,1326,0.0799322175554094,34.09772237779084
resid_n|true|m120|single,dumbbell,3,0,0.15,1123,0.07504177783280214,35.112467794463434
resid_n|true|m120|single,dumbbell,3,0,0.15,1035,0.08740992614647641,36.73115980052288
resid_n|true|m120|single,dumbbell,3,0,0.15,235,0.03994375043483913,38.10959482144626
resid_n|true|m120|single,dumbbell,3,0,0.15,1302,0.04788001470667397,39.18817135356253
resid_n|true|m120|single,dumbbell,3,0,0.15,430,0.05312380408442788,40.712697724084435
resid_n|true|m120|single,dumbbell,3,0,0.15,1388,0.05344717902199599,41.681986434549394
resid_n|true|m120|single,dumbbell,3,0,0.15,491,0.08368751644158662,42.77001054169692
