config,kind,dim,noise,field_r,balsign,corr_v3,flatnull_med,flatnull_iqr
resid_n|true|m120|single,dumbbell,3,0.0,0.9439766120151609,0.9797297297297297,0.724965049658207,,
resid_n|true|m120|single,dumbbell,3,0.15,0.9283822291946439,0.9864864864864865,0.6269505055333457,,
resid_n|true|m120|single,dumbbell,4,0.0,0.9269930659012373,0.986842105263158,0.7543420247123869,,
resid_n|true|m120|single,dumbbell,4,0.15,0.8883954093818636,0.986842105263158,0.5665812871428356,,
resid_n|true|m120|single,dumbbell,5,0.0,0.8660714544174751,0.993421052631579,0.4572067275979404,,
resid_n|true|m120|single,dumbbell,5,0.15,0.8062643818438614,0.9802631578947368,0.4653419932624904,,
resid_n|true|m120|single,dumbbell,6,0.0,0.8514249671654045,1.0,0.31675911843360216,,
resid_n|true|m120|single,dumbbell,6,0.15,0.7878634775958248,0.9807692307692308,0.2938721237789548,,
resid_n|true|m120|single,necklace,3,0.0,0.9637169801731659,0.9923076923076923,0.77610370768285,,
resid_n|true|m120|single,necklace,3,0.15,0.964578530914563,0.9846153846153847,0.7251061423308512,,
resid_n|true|m120|single,necklace,4,0.0,0.9637639577114486,1.0,0.7194930955983643,,
resid_n|true|m120|single,necklace,4,0.15,0.9466634949693273,0.9710144927536232,0.7067925969614677,,
resid_n|true|m120|single,necklace,5,0.0,-0.06613851873759155,0.9357142857142857,0.7204041193781666,,
resid_n|true|m120|single,necklace,5,0.15,-0.0656705838731355,0.95,0.6301796404943597,,
resid_n|true|m120|single,necklace,6,0.0,-0.2798001308990654,0.9652777777777778,0.6504965813516435,,
resid_n|true|m120|single,necklace,6,0.15,-0.2595255926257156,0.9236111111111112,0.5611208858499628,,
resid_n|true|m120|single,torus,3,0.0,,,,0.00026708097323411043,0.000805343930590641
resid_n|true|m120|single,torus,3,0.15,,,,0.004936325643129287,0.00959657499564679
resid_n|true|m120|single,torus,4,0.0,,,,0.04186023858217834,0.021189962109092596
resid_n|true|m120|single,torus,4,0.15,,,,0.06409963250745132,0.029412446848854912
resid_n|true|m120|single,torus,5,0.0,,,,0.1075151722683929,0.021323565659579047
resid_n|true|m120|single,torus,5,0.15,,,,0.1284352855770431,0.029949591806320897
resid_n|true|m120|single,torus,6,0.0,,,,0.16296268892498866,0.024618959499542292
resid_n|true|m120|single,torus,6,0.15,,,,0.17470796606760558,0.029198175717115887
resid_n|true|m30|single,dumbbell,3,0.0,0.9823881116567448,1.0,0.6582347656751606,,
resid_n|true|m30|single,dumbbell,3,0.15,0.8531615937019759,0.8333333333333333,0.34121487832752406,,
resid_n|true|m30|single,dumbbell,4,0.0,0.9636521228817375,1.0,0.7596310331548343,,
resid_n|true|m30|single,dumbbell,4,0.15,0.8410900749789786,0.75,0.5637328076921158,,
resid_n|true|m30|single,dumbbell,5,0.0,0.9053437350006645,0.743421052631579,0.399681928053294,,
