readout,dest,m,pool,p,value,ks,kind,dim,seed,dist
resid,true,30,single,618,0.0015081557588768153,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,618,0.004048279518936835,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,618,0.0013436079402139058,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,618,0.0015081557588768153,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,618,0.004048279518936835,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,618,0.0013436079402139058,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,237,0.00164321398289838,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,237,0.0038306823084166166,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,237,0.0013316098054918992,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,237,0.00164321398289838,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,237,0.0038306823084166166,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,237,0.0013316098054918992,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,334,0.004731041968022084,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,334,0.007714781246058018,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,334,0.0034921321057309767,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,334,0.004731041968022084,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,334,0.007714781246058018,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,334,0.0034921321057309767,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,243,0.0007193438427353578,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,243,0.0027847185750606834,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,243,0.0009512186481136367,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,243,0.0007193438427353578,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,243,0.0027847185750606834,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,243,0.0009512186481136367,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,219,0.0032209230983342423,-8.956077783870782,hyperbolic,2,0,exact
