readout,dest,m,pool,dist,sign,monotone,triad_gap,null_med,null_iqr,field_r_dumbbell,field_r_necklace
lam_d1,est,30,jitter,exact,-1.0,False,0.018927409078227278,2.720690271863603e-16,1.8446818252611926e-16,0.6581564004178948,0.36076984572083676
lam_d1,est,30,jitter,graph,-1.0,False,0.027247722967791765,0.16263985043859636,0.24921886821042222,0.2533138234441182,0.45854624999993654
lam_d1,est,30,single,exact,-1.0,False,0.008823742984949205,1.561631737443579e-16,1.5840198479423767e-16,0.7099226123262684,0.5996957874514551
lam_d1,est,30,single,graph,-1.0,False,0.006928757369275784,0.07268700285906131,0.14872963520006516,0.01963466689006589,0.30316320077868497
lam_d1,est,60,jitter,exact,-1.0,False,0.0881908303207681,1.1559990307465863e-15,0.02912965026904977,0.45737604688025674,-0.19608835079123796
lam_d1,est,60,jitter,graph,-1.0,False,0.19108948392184932,0.5201328683584328,0.6816018943567481,0.787707285289585,0.35551630528210293
lam_d1,est,60,single,exact,-1.0,False,0.04101706584051122,6.582184336383775e-16,4.698471119284835e-16,0.6905848977440789,0.16673572822102523
lam_d1,est,60,single,graph,-1.0,False,0.10084599130701727,0.3639384706111231,0.49471325835641783,0.27889432276061354,0.4027387509117723
lam_d1,est,120,jitter,exact,-1.0,False,0.26477755343921344,0.7321525986434835,2.411980793462398,0.073534311130202,-0.6195411280335616
lam_d1,est,120,jitter,graph,-1.0,False,0.8627747370334498,1.6445250770122548,3.509423186009574,0.7539788635907045,-0.14750072773247813
lam_d1,est,120,single,exact,-1.0,True,0.16334875818460967,2.3742718395273756e-15,0.27186502319204664,0.5868025389109167,-0.19602741433249427
lam_d1,est,120,single,graph,-1.0,True,0.5209758110359862,1.0760036611386472,1.5016612217492156,0.5401175695472454,0.2612950766982973
lam_d1,true,30,jitter,exact,-1.0,False,0.017643938154821282,2.720690271863603e-16,1.8446818252611926e-16,0.6589460896063655,0.4717134809867893
lam_d1,true,30,jitter,graph,-1.0,False,0.0017505993450743357,0.16263985043859636,0.23243989088773426,0.6803376710676448,0.5899334337245599
lam_d1,true,30,single,exact,-1.0,False,0.008799418501710114,1.561631737443579e-16,1.5840198479423767e-16,0.7099226123262684,0.5996957874514551
lam_d1,true,30,single,graph,1.0,False,0.006480029504518842,0.08097142505130762,0.1494085446262936,-0.5808477995478442,-0.4071539998081168
lam_d1,true,60,jitter,exact,-1.0,True,0.07424535540690316,1.2611216642281268e-15,0.09166157400387326,0.6149345933411685,0.29365507219864545
lam_d1,true,60,jitter,graph,-1.0,False,0.07125989140488986,0.5201328683584328,0.6763780283328275,0.7463316167544859,0.614506296596343
lam_d1,true,60,single,exact,-1.0,False,0.04101706584051122,6.582184336383775e-16,4.698471119284835e-16,0.6905848977440789,0.4334765083708294
lam_d1,true,60,single,graph,-1.0,False,0.015493562595308763,0.3639384706111231,0.49471325835641783,0.601563375949414,0.6047667948427429
lam_d1,true,120,jitter,exact,-1.0,False,0.2286661179321648,0.8055098495583712,2.4300928883863993,0.4464490450866665,0.28990477088003375
lam_d1,true,120,jitter,graph,-1.0,False,0.49478489898935374,2.1016865183915856,3.8980354505298695,0.5851197973334933,0.36392706171228684
lam_d1,true,120,single,exact,-1.0,True,0.16334875818460967,2.5789840227035257e-15,0.27186502319204664,0.5868025389109167,0.2679833703405488
lam_d1,true,120,single,graph,-1.0,False,0.20694378935685243,1.0760036611386472,1.5016612217492156,0.7452851060753292,0.5924085545246504
resid,est,30,jitter,exact,-1.0,True,0.08481903773821381,6.848526395229975e-17,1.3318050320885762e-16,0.9384280043553932,0.9093002548858009
resid,est,30,jitter,graph,-1.0,True,0.10195725060159633,0.040258872526526324,0.14200225221394533,0.4032651597049348,0.6360114928486601
resid,est,30,single,exact,-1.0,True,0.038519355712890085,7.198631332947553e-17,1.452616518751815e-16,0.9172487171817847,0.9302984310885087
resid,est,30,single,graph,-1.0,False,0.047552792108188156,0.028426262332844836,0.060014794554606586,0.03814817384547475,0.4382904480792315
resid,est,60,jitter,exact,-1.0,True,0.5030324368178186,6.415018708899707e-16,0.03486111301917609,0.8543227886028844,0.9308743664081027
resid,est,60,jitter,graph,-1.0,True,0.6224465928497357,0.25693962183468133,0.5814407018468438,0.9163202981309667,0.8964675518310296
resid,est,60,single,exact,-1.0,True,0.22258489888648986,3.2205826103828203e-16,6.152795995745262e-16,0.9355877227559763,0.9128645528222395
resid,est,60,single,graph,-1.0,True,0.2880735560870456,0.13990447230529438,0.3584334628288815,0.40777483679476423,0.706446655453712
resid,est,120,jitter,exact,-1.0,True,2.6429141105854317,0.1195003303143285,1.8250116899672397,0.7066932726427184,0.9113993513946516
resid,est,120,jitter,graph,-1.0,True,3.3099396973042907,0.8917603582207116,3.762990277017256,0.8568330585510618,0.8277279799965138
resid,est,120,single,exact,-1.0,True,1.1967119787530065,2.90774035761918e-15,0.05235514436532207,0.891327338065004,0.9379573493255229
resid,est,120,single,graph,-1.0,True,1.5925288639687798,0.524725335530697,1.431869832952146,0.7533716612937521,0.8949129833088375
resid,true,30,jitter,exact,-1.0,True,0.08292846076555133,6.848526395229975e-17,1.3318050320885762e-16,0.9353010753504696,0.9429109326263019
resid,true,30,jitter,graph,-1.0,False,0.040928166907704046,0.04298825212277084,0.12183763177894424,0.8062754594572717,0.8610985432482715
resid,true,30,single,exact,-1.0,True,0.038499568243074475,7.198631332947553e-17,1.452616518751815e-16,0.9172487171817847,0.9302984310885087
resid,true,30,single,graph,-1.0,False,0.011392118422889778,0.02738311913177041,0.05837161989109433,0.6496236937178598,0.7426926778479527
resid,true,60,jitter,exact,-1.0,True,0.4818061323200347,6.415018708899707e-16,0.017466582545553277,0.9025411747928145,0.9807230856309562
resid,true,60,jitter,graph,-1.0,False,0.37188166897946495,0.2714785639456919,0.582349073167041,0.8981712991804187,0.9361589615340741
resid,true,60,single,exact,-1.0,True,0.22258489888648986,3.2205826103828203e-16,6.152795995745262e-16,0.9355877227559763,0.9446494538740464
resid,true,60,single,graph,-1.0,False,0.11184480796761212,0.13990447230529438,0.3559426313868547,0.8436343323019959,0.8933098701609236
resid,true,120,jitter,exact,-1.0,True,2.5867847247347773,0.49286394054902183,1.8530266468364571,0.7879298317722928,0.9830429717401511
resid,true,120,jitter,graph,-1.0,False,2.600349056910156,1.7662711603134618,4.375363584108736,0.7991804718044698,0.9445967189558697
resid,true,120,single,exact,-1.0,True,1.1967119787530065,2.90774035761918e-15,0.05235514436532175,0.891327338065004,0.982582218039922
resid,true,120,single,graph,-1.0,False,0.9865699044915229,0.524725335530697,1.431869832952146,0.9038333825513511,0.9342538267372095
resid_n,est,30,jitter,exact,-1.0,True,0.04013866475103655,4.001925030550964e-17,6.724798678113369e-17,0.9768685338354847,0.9367419905771591
resid_n,est,30,jitter,graph,-1.0,True,0.04576888631009302,0.021295237815945355,0.037675486907085075,0.42916021868035287,0.6052439434030985
resid_n,est,30,single,exact,-1.0,True,0.026531798692953856,6.956406132493979e-17,1.3301016623466589e-16,0.9682455121450344,0.9711209484815644
resid_n,est,30,single,graph,-1.0,True,0.0322400170990583,0.02014070928263608,0.03636563204106867,0.021882716412627373,0.4357347225404309
resid_n,est,60,jitter,exact,-1.0,True,0.07436543029611507,1.286674698488931e-16,0.0030065080500104703,0.9047879448486765,0.9482417998198377
resid_n,est,60,jitter,graph,-1.0,True,0.0753923102580949,0.026300469872995315,0.032792126299966584,0.9263905261928711,0.8979420779521006
resid_n,est,60,single,exact,-1.0,True,0.04826997640562475,7.421735838885949e-17,1.4727978603254784e-16,0.9733819015529016,0.9449219789176008
resid_n,est,60,single,graph,-1.0,True,0.05379577912467438,0.026217993921712576,0.03384011223580903,0.37418719783495674,0.7291841698647885
