profile,d,wseed,noise,gamma_c,r_fbsent,tau_med,t_fb
nk2,3,0,clean,0.9333,0.3012932203454577,77.80072819942927,353.3
nk2,5,0,clean,0.8889,0.5694583984918349,37.88982968454083,353.5
nk3,4,0,clean,0.9111,0.7662789158267242,55.34236141841816,351.8
nk2,3,0,iso05,0.9333,0.4873834053183342,44.76160209739668,360.0
nk2,5,0,iso05,0.8889,0.6193851050783776,23.574530538692905,354.3
nk3,4,0,iso05,0.9111,0.721034476800446,37.87872910296559,353.1
nk2,3,1,hetero,0.9333,0.0962090901566798,10.003201906086437,351.5
nk2,5,1,hetero,0.8889,0.2341014859472018,12.361462494724682,350.3
nk3,4,1,hetero,0.9111,0.3237580835292216,9.434362903422318,354.4
nk2,3,1,ar1,0.9333,0.6837585998547039,24.789687057644823,352.3
nk2,5,1,ar1,0.8889,0.0995079384020612,11.571479276140874,349.5
nk3,4,1,ar1,0.9111,0.5586916960265034,13.874847854476457,344.9
nk2,4,0,clean,0.9111,0.6500230728417409,56.05165069779988,359.8
nk3,3,0,clean,0.9333,0.7201874654087683,78.60494566577896,350.2
nk3,5,0,clean,0.8889,0.5810822701942456,39.05841424024158,353.2
nk2,4,0,iso05,0.9111,0.5981833698585614,30.537709279227244,351.7
nk3,3,0,iso05,0.9333,0.8136454970735257,41.11185830126945,343.8
nk3,5,0,iso05,0.8889,0.6112520339516947,21.65919396465937,346.8
nk2,4,0,iso15,0.9111,0.2630250623759326,2.291184530372335,351.5
nk3,3,0,iso15,0.9333,0.783606458663542,5.305779212509291,350.3
nk3,5,0,iso15,0.8889,0.4672208353495413,1.80828485178714,354.6
nk2,4,0,hd64,0.9111,-0.1876651264706405,0.0023927709784714,354.5
nk3,3,0,hd64,0.9333,0.0915795253368348,0.0029874005573941,352.0
nk3,5,0,hd64,0.8889,-0.1090643335854403,0.0022308565331128,347.6
nk2,4,0,hetero,0.9111,0.2115731386486178,8.381543602559944,355.9
nk3,3,0,hetero,0.9333,0.386974408492619,8.675772253614717,353.3
nk3,5,0,hetero,0.8889,0.2004048160573865,10.554638893739565,346.7
nk2,4,0,ar1,0.9111,0.3008434895957936,16.591128457989534,357.0
nk3,3,0,ar1,0.9333,0.6734365421466728,26.53679553780157,350.4
nk3,5,0,ar1,0.8889,0.4870721988731705,11.403326036145687,350.5
nk2,4,1,clean,0.9111,0.6324708004000877,53.2816391240942,352.8
nk3,3,1,clean,0.9333,0.7283112709042402,76.43330772217797,352.6
nk3,5,1,clean,0.8889,0.6934557813597244,42.95502672454252,354.4
nk2,4,1,iso05,0.9111,0.686500404769542,35.30236644153804,356.1
nk3,3,1,iso05,0.9333,0.8264487928343615,46.8455640333788,345.3
nk3,5,1,iso05,0.8889,0.6813801127528446,25.48639494398049,355.1
nk2,3,0,iso15,0.9333,0.6698780510856177,4.411962973734383,360.1
nk2,5,0,iso15,0.8889,0.4622520349361412,1.8609095250486536,353.2
nk3,4,0,iso15,0.9111,0.440513804749893,2.6614433526414665,352.6
nk2,4,1,iso15,0.9111,0.395938526588711,0.6308732705826521,356.4
nk3,3,1,iso15,0.9333,0.6441720689661663,5.116254340423259,353.7
nk3,5,1,iso15,0.8889,0.2541289509081026,0.5868302245523535,347.0
nk2,4,1,hd64,0.9111,-0.0857217911326362,0.002476977464942,358.2
nk3,3,1,hd64,0.9333,-0.2451270829582356,0.0027963546039121,353.4
nk3,5,1,hd64,0.8889,0.0564218127707943,0.0021132057371207,353.4
nk2,4,1,hetero,0.9111,0.2579510982743114,16.931145663455453,352.9
nk3,3,1,hetero,0.9333,0.0936480197629499,7.552977312849682,352.6
nk3,5,1,hetero,0.8889,0.2446045064537085,2.4703938950935984,354.5
nk2,4,1,ar1,0.9111,0.5076152296625743,16.324117547860006,356.1
nk3,3,1,ar1,0.9333,0.5747890974710717,23.28722002377674,345.3
nk3,5,1,ar1,0.8889,0.0761718021227272,5.8331001170870085,355.0
nk2,3,0,hd64,0.9333,0.3230347853218191,0.0029158881437557,355.7
nk2,5,0,hd64,0.8889,0.0713757867749215,0.0021268052283568,349.3
nk3,4,0,hd64,0.9111,-0.0099512104557922,0.0026330649601774,348.3
nk2,3,0,hetero,0.9333,0.2862729758769609,4.9820403801854365,353.4
nk2,5,0,hetero,0.8889,0.3736652208585223,12.05581233610064,351.9
nk3,4,0,hetero,0.9111,0.3324211303951381,6.350852501410693,195.0
nk2,3,0,ar1,0.9333,0.5011064517335113,27.13851351474063,359.7
nk2,5,0,ar1,0.8889,0.3017445153545977,10.463070888521315,354.2
nk3,4,0,ar1,0.9111,0.4323556233002295,20.81575284564551,353.1
nk2,3,1,clean,0.9333,0.4904988416721728,79.43366256106275,360.0
nk2,5,1,clean,0.8889,0.5877384873421136,37.93347540722012,353.4
nk3,4,1,clean,0.9111,0.8044266291109984,55.8575019357604,352.9
nk2,3,1,iso05,0.9333,0.6770172249683393,43.21956818548986,354.2
nk2,5,1,iso05,0.8889,0.5471401916046224,22.28069312860739,346.5
nk3,4,1,iso05,0.9111,0.7649713560073537,32.21704866143237,345.6
nk2,3,1,iso15,0.9333,0.3898314667309696,0.1932813947020253,359.7
nk2,5,1,iso15,0.8889,0.2923102950175381,0.0011306082345669,350.4
nk3,4,1,iso15,0.9111,0.60296604758832,3.888639104926531,353.2
nk2,3,1,hd64,0.9333,-0.1596423254195492,0.0030675703311836,353.4
nk2,5,1,hd64,0.8889,0.5364730403078752,0.0020398050483197,346.9
nk3,4,1,hd64,0.9111,-0.0891714374629182,0.0025778331024038,349.6
