profile,d,wseed,noise,r_a,r_b,r_ceiling,t
nk2,3,0,clean,0.3322870023702187,0.513403730841701,0.7860434959995489,85.0
nk2,5,0,clean,0.6274481025338285,0.6667759627781871,0.6825331262870673,78.7
nk3,4,0,clean,0.6743195821819246,0.7362262057156161,0.6832745689830632,78.6
nk2,3,0,iso05,0.3778622896124722,0.5856232112929342,0.7860434959995489,85.2
nk2,5,0,iso05,0.6360599836514127,0.6905327374853691,0.6825331262870673,78.8
nk3,4,0,iso05,0.7162288068483719,0.7494844679174715,0.6832745689830632,78.7
nk2,3,1,hetero,0.2832702467711639,0.5294779737328108,0.9122468842496378,84.7
nk2,5,1,hetero,0.2548120165085893,0.4946532323465507,0.7730363714606707,78.7
nk3,4,1,hetero,0.4271372871516853,0.601809057487114,0.6688240954836953,78.5
nk2,3,1,ar1,0.6089664880405179,0.6521490545824892,0.9122468842496378,85.4
nk2,5,1,ar1,0.3325249947384612,0.4442542223965034,0.7730363714606707,78.5
nk3,4,1,ar1,0.596548715708189,0.5796800926216845,0.6688240954836953,78.4
nk2,4,0,clean,0.3606899323611129,0.3782003939953231,0.7865007791790737,84.9
nk3,3,0,clean,0.7637821897088772,0.8233432960089817,0.9091913870764998,78.1
nk3,5,0,clean,0.6581933938908835,0.6041234562221375,0.5915559856105361,77.9
nk2,4,0,iso05,0.5320519095330705,0.5759507666423461,0.7865007791790737,85.4
nk3,3,0,iso05,0.7879156170495978,0.8077066644075999,0.9091913870764998,78.7
nk3,5,0,iso05,0.6372726116332814,0.6529783692320439,0.5915559856105361,78.5
nk2,4,0,iso15,0.3737489649413029,0.3942110812339565,0.7865007791790737,84.9
nk3,3,0,iso15,0.7209502728140138,0.7044387564637051,0.9091913870764998,78.6
nk3,5,0,iso15,0.57089520976633,0.5836138222339473,0.5915559856105361,78.4
nk2,4,0,hd64,0.2951615419712776,0.4116569704781345,0.7865007791790737,85.1
nk3,3,0,hd64,0.5219607466975477,0.5403731577822796,0.9091913870764998,78.9
nk3,5,0,hd64,0.3641345416592062,0.3011383748444932,0.5915559856105361,78.9
nk2,4,0,hetero,0.2934941640586934,0.4132854722536164,0.7865007791790737,81.5
nk3,3,0,hetero,0.513086735935783,0.7212620035974027,0.9091913870764998,78.6
nk3,5,0,hetero,0.3470350381166549,0.6197084790067231,0.5915559856105361,78.5
nk2,4,0,ar1,0.2955750588789834,0.3437380192549855,0.7865007791790737,83.0
nk3,3,0,ar1,0.6323695490354974,0.6758058056759932,0.9091913870764998,79.9
nk3,5,0,ar1,0.5864298339187095,0.5556704683291689,0.5915559856105361,79.8
nk2,4,1,clean,0.4981245919372326,0.4197176792153805,0.747857910464911,82.3
nk3,3,1,clean,0.6478199496476137,0.799627124051066,0.8522710443621764,79.0
nk3,5,1,clean,0.6715269560393625,0.7778087631094808,0.5410538433298556,78.8
nk2,4,1,iso05,0.4993325533414458,0.5796201106450019,0.747857910464911,81.0
nk3,3,1,iso05,0.7748682921938146,0.8176941635648622,0.8522710443621764,77.9
nk3,5,1,iso05,0.6704777255316982,0.7781414655851169,0.5410538433298556,78.0
nk2,3,0,iso15,0.7013420577172198,0.7563492636297928,0.7860434959995489,85.8
nk2,5,0,iso15,0.5659903276385464,0.5855246937643792,0.6825331262870673,79.4
nk3,4,0,iso15,0.4528609836592029,0.4427881129006084,0.6832745689830632,79.3
nk2,4,1,iso15,0.5842096226637341,0.5800127250348541,0.747857910464911,81.6
nk3,3,1,iso15,0.5821301073346783,0.6037111873033951,0.8522710443621764,78.5
nk3,5,1,iso15,0.4459947893790953,0.4496502451671614,0.5410538433298556,78.6
nk2,4,1,hd64,0.2499734741251039,0.3701389137444853,0.747857910464911,82.2
nk3,3,1,hd64,0.7118121090639012,0.5489422206039177,0.8522710443621764,80.3
nk3,5,1,hd64,0.432227610611042,0.1977486163663566,0.5410538433298556,80.2
nk2,4,1,hetero,0.3100952264958286,0.5617319262282783,0.747857910464911,82.2
nk3,3,1,hetero,0.3070645445276181,0.4719071597931994,0.8522710443621764,79.0
nk3,5,1,hetero,0.3167791737113121,0.4811409828353496,0.5410538433298556,79.0
nk2,4,1,ar1,0.5679825589619667,0.4961141967573427,0.747857910464911,81.2
nk3,3,1,ar1,0.574556673504812,0.5697437869034787,0.8522710443621764,78.3
nk3,5,1,ar1,0.4486642251075999,0.4948199105761627,0.5410538433298556,78.3
nk2,3,0,hd64,0.2695683874347603,0.4692142900434827,0.7860434959995489,85.4
nk2,5,0,hd64,0.5326282966851331,0.2218058110160378,0.6825331262870673,80.0
nk3,4,0,hd64,0.6018288812612487,0.0219912547891706,0.6832745689830632,80.0
nk2,3,0,hetero,0.3977434518197666,0.5371235891630193,0.7860434959995489,85.1
nk2,5,0,hetero,0.403633800128696,0.6215602563810668,0.6825331262870673,78.7
nk3,4,0,hetero,0.4275994290402569,0.4983936303177204,0.6832745689830632,78.7
nk2,3,0,ar1,0.5715490927187694,0.6691838362326877,0.7860434959995489,85.4
nk2,5,0,ar1,0.4375328998491955,0.4808734284382463,0.6825331262870673,78.8
nk3,4,0,ar1,0.3646005570060344,0.3990267055124105,0.6832745689830632,78.8
nk2,3,1,clean,0.5938438684004035,0.7222506346100922,0.9122468842496378,85.8
nk2,5,1,clean,0.5847815611150872,0.6775662006127605,0.7730363714606707,79.4
nk3,4,1,clean,0.6724414199707808,0.6560245300464986,0.6688240954836953,79.2
nk2,3,1,iso05,0.6164271353683891,0.7780259905231535,0.9122468842496378,86.2
nk2,5,1,iso05,0.5138972156562074,0.7885023877994175,0.7730363714606707,79.7
nk3,4,1,iso05,0.6837073947127154,0.7003389730193476,0.6688240954836953,79.8
nk2,3,1,iso15,0.6722342304467317,0.6964009091111328,0.9122468842496378,84.8
nk2,5,1,iso15,0.6392203737201723,0.5962033805087465,0.7730363714606707,77.8
nk3,4,1,iso15,0.6033386162596601,0.6040272299062494,0.6688240954836953,77.8
nk2,3,1,hd64,0.5564649514587912,0.305649579732149,0.9122468842496378,84.8
nk2,5,1,hd64,0.4384271676364027,0.1136127377217295,0.7730363714606707,79.1
nk3,4,1,hd64,0.4683708329567037,0.173426915964413,0.6688240954836953,78.7
