profile,d,wseed,noise,r_td3,r_td3_2x,r_sent2x,r_ceil2x,t
nk2,3,0,clean,0.4933838428460103,0.6728849532298644,0.9145480726684946,0.9145480726684946,163.1
nk2,5,1,iso15,0.6391150242161128,0.455783352003224,0.3004323186732868,0.7564734676777547,154.4
nk3,5,0,hetero,0.4785916326771591,0.1617342763730324,0.4366709918753686,0.5740795875460479,154.5
nk2,3,0,iso05,0.5527532801692626,0.8189453859325503,0.9206750794084164,0.9145480726684946,161.7
nk2,5,1,hd64,0.4892013599380074,0.5729853930152102,0.3719580508334876,0.7564734676777547,160.1
nk3,5,0,ar1,0.5487350861726367,0.4692142503806424,0.2846376120150111,0.5740795875460479,154.7
nk2,3,1,hetero,0.3959618862985607,0.4302976988591879,0.4818070057812969,0.9152624043298304,161.1
nk3,3,1,clean,0.7690940247573743,0.8482190810434416,0.8446484718583707,0.8446484718583707,154.9
nk2,3,1,ar1,0.6532618940474724,0.593741001054265,0.6014461812698404,0.9152624043298304,159.9
nk3,3,1,iso05,0.8089765740257602,0.8545933385368489,0.8069818231738981,0.8446484718583707,153.7
nk2,4,0,clean,0.3574156661494851,0.5797364266872636,0.8381605682209048,0.8381605682209048,161.5
nk3,3,1,iso15,0.5798203013738782,0.7233129735864579,0.6219771187566392,0.8446484718583707,153.3
nk2,4,0,iso05,0.5886590117945197,0.6740120309073773,0.8158031281942315,0.8381605682209048,161.9
nk3,3,1,hd64,0.5587664645027157,0.6190427095291142,0.3951922502749665,0.8446484718583707,160.7
nk2,4,0,iso15,0.391799073188059,0.6057097822286167,0.5887260754089484,0.8381605682209048,161.3
nk3,3,1,hetero,0.3891963886664138,0.4333792821895165,0.4298973681021462,0.8446484718583707,154.8
nk2,4,0,hd64,0.4761121506676309,0.4578237654413263,0.3339904200180373,0.8381605682209048,166.7
nk3,3,1,ar1,0.5628253276980539,0.6118424713648776,0.5405868659926614,0.8446484718583707,154.9
nk2,4,0,hetero,0.3261380673348392,0.4269851987568096,0.6193590686401299,0.8381605682209048,167.2
nk3,4,0,clean,0.7447025021784357,0.6766339119182302,0.6700258121187717,0.6700258121187717,156.4
nk2,4,0,ar1,0.3348219638520253,0.6595037499604619,0.518357503970766,0.8381605682209048,169.2
nk3,4,0,iso05,0.7474371253017392,0.7817124352271756,0.6643330901877728,0.6700258121187717,157.9
nk2,4,1,clean,0.4346954527170631,0.6299984011536384,0.7767865152982019,0.7767865152982019,168.5
nk3,4,0,iso15,0.4522312933885076,0.6529455087050042,0.5154499159788988,0.6700258121187717,157.3
nk2,4,1,iso05,0.5371649542177553,0.8112803590553557,0.7045884019307644,0.7767865152982019,168.8
nk3,4,0,hd64,0.5606645284379864,0.3878092188361342,0.1827607098403533,0.6700258121187717,163.6
nk2,3,0,iso15,0.7144243250043503,0.7788784904435182,0.7035425922708719,0.9145480726684946,162.1
nk2,5,1,hetero,0.3272220863069797,0.1279705268693554,0.2923548134279589,0.7564734676777547,156.0
nk3,5,1,clean,0.7885315072899881,0.7508976703822909,0.5689562225756377,0.5689562225756377,156.0
nk2,4,1,iso15,0.5894120943643293,0.4686925542865554,0.4026889048620167,0.7767865152982019,167.2
nk3,4,0,hetero,0.4673400651390115,0.4229242823430523,0.4547620026493181,0.6700258121187717,156.4
nk2,4,1,hd64,0.4546104133416812,0.6557584174621202,0.4016527873022602,0.7767865152982019,173.0
nk3,4,0,ar1,0.3747541582701401,0.6140318841169926,0.3554642531276077,0.6700258121187717,157.2
nk2,4,1,hetero,0.3622078872365262,0.3890196831750998,0.4563275481199997,0.7767865152982019,166.6
nk3,4,1,clean,0.6696797203645277,0.8293934980709154,0.7271929426951927,0.7271929426951927,155.8
nk2,4,1,ar1,0.5286105610856422,0.452184029298349,0.4755612176283493,0.7767865152982019,166.0
nk3,4,1,iso05,0.6880560806036244,0.8088461906299338,0.6811355914440415,0.7271929426951927,153.4
