profile,d,wseed,noise,r_td4,cv,r_sent5k,r_ceil5k,t,r_td4_dec
nk2,3,0,clean,0.6732074165539141,1.449,0.9619738010419872,0.9619738010419872,97.0,
nk2,5,1,iso15,0.455783352003224,0.081,0.5321995100997136,0.7944269222709148,79.5,
nk3,4,0,hetero,0.5159951584703347,0.63,0.404229624293651,0.8072044214055721,79.2,
nk2,3,0,iso05,0.8189453859325503,0.12,0.9419681836306808,0.9619738010419872,95.7,
nk2,5,1,hd64,0.3406532026384261,0.029,0.3297155991313178,0.7944269222709148,81.7,
nk3,4,0,ar1,0.6160432803136922,0.419,0.5179385633566305,0.8072044214055721,155.6,0.6140333928727584
nk2,3,1,hetero,0.5902767476788835,0.808,0.4745028396623701,0.9406612066203676,95.5,
nk2,6,1,clean,0.5782831471791665,1.179,0.4022553988575985,0.4022553988575985,79.1,
nk3,5,0,iso15,0.5459016762302016,0.086,0.3378342392565343,0.5510663947897223,78.7,
nk2,3,1,ar1,0.5927384601943315,0.487,0.5470987929600164,0.9406612066203676,171.7,0.5925899388135678
nk2,6,1,iso05,0.6734839062256368,0.093,0.3786193015863236,0.4022553988575985,78.8,
nk3,5,0,hd64,0.474960491401291,0.027,0.2858333279993542,0.5510663947897223,80.5,
nk2,4,0,clean,0.5768150406552324,1.339,0.8812535442784194,0.8812535442784194,96.9,
nk2,6,1,iso15,0.2401354472427837,0.083,0.013177165001352,0.4022553988575985,79.9,
nk3,5,0,hetero,0.4383134444249338,0.577,0.3783533897416943,0.5510663947897223,80.3,
nk2,4,0,iso05,0.6740120309073773,0.117,0.874043219114579,0.8812535442784194,96.2,
nk2,6,1,hd64,0.4649047409948594,0.026,0.3079672179048363,0.4022553988575985,81.0,
nk3,5,0,ar1,0.4708724409386176,0.383,0.3965213822778543,0.5510663947897223,155.0,0.4810836983910986
nk2,4,0,iso15,0.6057097822286167,0.097,0.5652870613639817,0.8812535442784194,96.0,
nk2,6,1,hetero,0.2289440290079638,0.502,0.2507909302163469,0.4022553988575985,79.0,
nk3,5,1,clean,0.7484732218971268,1.23,0.6332463142165708,0.6332463142165708,79.7,
nk2,4,0,hd64,0.2397746583367402,0.029,0.1296238332978823,0.8812535442784194,94.8,
nk2,6,1,ar1,0.2218970541319327,0.39,0.0818567480481377,0.4022553988575985,155.4,0.2234625908444693
nk3,5,1,iso05,0.7235686867271424,0.107,0.6077134739843133,0.6332463142165708,79.6,
nk2,4,0,hetero,0.6001774506471191,0.666,0.5660355385815141,0.8812535442784194,96.5,
nk3,3,0,clean,0.8322761892756156,1.314,0.9492498852798932,0.9492498852798932,79.6,
nk3,5,1,iso15,0.3499180513366828,0.087,0.3296981773499837,0.6332463142165708,79.4,
nk2,4,0,ar1,0.656562282161004,0.399,0.5995965237480999,0.8812535442784194,172.4,0.6655385801902343
nk3,3,0,iso05,0.8613669892686892,0.122,0.9035387873488804,0.9492498852798932,80.5,
nk3,5,1,hd64,0.4052473280184613,0.027,0.0796711649805254,0.6332463142165708,81.9,
nk2,4,1,clean,0.6299984011536384,1.249,0.8869079041431964,0.8869079041431964,96.9,
nk3,3,0,iso15,0.6207940852192346,0.099,0.6220002591375242,0.9492498852798932,81.2,
nk3,5,1,hetero,0.3749576092820623,0.575,0.3073450651506674,0.6332463142165708,81.0,
nk2,4,1,iso05,0.8112803590553557,0.12,0.8766743122072498,0.8869079041431964,96.1,
nk3,3,0,hd64,0.5748352881017811,0.027,0.22405526782572,0.9492498852798932,81.7,
nk3,5,1,ar1,0.3616478903288831,0.38,0.2339493613584299,0.6332463142165708,156.5,0.3650248521474102
nk2,3,0,iso15,0.7788784904435182,0.108,0.6768987030909119,0.9619738010419872,97.3,
nk2,5,1,hetero,0.4450528045437828,0.652,0.4152313578238912,0.7944269222709148,80.9,
nk3,4,1,clean,0.8282361072378104,1.153,0.8731258623475244,0.8731258623475244,81.0,
nk2,4,1,iso15,0.4686925542865554,0.098,0.4543725824050457,0.8869079041431964,95.4,
nk3,3,0,hetero,0.6691980440856271,0.802,0.4785396299973861,0.9492498852798932,79.5,
nk3,6,0,clean,0.6954502596718026,1.087,0.6240368717920595,0.6240368717920595,79.2,
nk2,4,1,hd64,0.4254918122620931,0.027,0.109367481946662,0.8869079041431964,95.6,
nk3,3,0,ar1,0.5868346978396108,0.457,0.6415310894655478,0.9492498852798932,157.7,0.5898127885377569
nk3,6,0,iso05,0.7186859676669534,0.099,0.3253246729461225,0.6240368717920595,80.6,
nk2,4,1,hetero,0.571383676699076,0.668,0.5407465401983432,0.8869079041431964,96.7,
nk3,3,1,clean,0.8463948141086006,1.384,0.8977030104088933,0.8977030104088933,81.2,
nk3,6,0,iso15,0.3042852850549887,0.079,0.2432622177562354,0.6240368717920595,80.8,
nk2,4,1,ar1,0.4528123063405921,0.444,0.4724903519607431,0.8869079041431964,173.6,0.4577283742998076
nk3,3,1,iso05,0.8545933385368489,0.126,0.8825193451321032,0.8977030104088933,80.3,
nk3,6,0,hd64,0.2018054404931603,0.028,0.1547441168305902,0.6240368717920595,82.7,
nk2,5,0,clean,0.4543235674018808,1.239,0.6907886491756293,0.6907886491756293,97.7,
nk3,3,1,iso15,0.7233129735864579,0.11,0.5859096460609535,0.8977030104088933,80.1,
nk3,6,0,hetero,0.4113004547262165,0.546,0.2515602150580558,0.6240368717920595,79.7,
nk2,5,0,iso05,0.6614824632118705,0.114,0.6489503193417172,0.6907886491756293,97.3,
nk3,3,1,hd64,0.4992686359266828,0.028,0.3472224637434405,0.8977030104088933,80.1,
nk3,6,0,ar1,0.3359717848472517,0.37,0.162294478666453,0.6240368717920595,154.4,0.3388651307192118
nk2,5,0,iso15,0.540923329404112,0.084,0.4718671060946537,0.6907886491756293,96.0,
nk3,3,1,hetero,0.5667884662952389,0.797,0.4098597624885628,0.8977030104088933,78.9,
nk3,6,1,clean,0.5929595590474785,1.196,0.4660218207235305,0.4660218207235305,78.5,
nk2,5,0,hd64,0.1158537017080593,0.027,0.136034000118436,0.6907886491756293,96.3,
nk3,3,1,ar1,0.6149126760248472,0.457,0.4978042135368087,0.8977030104088933,155.0,0.6107564764651476
nk3,6,1,iso05,0.650258027286573,0.095,0.3232615014413726,0.4660218207235305,78.5,
nk2,5,0,hetero,0.6052763792205385,0.631,0.6175998930309498,0.6907886491756293,96.7,
nk3,4,0,clean,0.6769586082313614,1.248,0.8072044214055721,0.8072044214055721,80.2,
nk3,6,1,iso15,0.2568302948962951,0.082,0.0713226284922254,0.4660218207235305,79.7,
nk2,5,0,ar1,0.6352064778023068,0.372,0.5563818236583488,0.6907886491756293,173.0,0.627191448209812
nk3,4,0,iso05,0.7817124352271756,0.118,0.6810073522312844,0.8072044214055721,79.7,
nk3,6,1,hd64,0.3404503636778884,0.027,0.3116690132075025,0.4660218207235305,81.2,
nk2,3,0,hd64,0.6357828743030374,0.026,0.355642309876506,0.9619738010419872,188.7,
nk2,5,1,ar1,0.4927548060081044,0.433,0.4174801417827296,0.7944269222709148,296.3,0.5129168982204289
nk3,4,1,iso05,0.8088461906299338,0.117,0.807666329107646,0.8731258623475244,129.2,
nk2,5,1,clean,0.6125219816258043,1.227,0.7944269222709148,0.7944269222709148,96.2,
nk3,4,0,iso15,0.6529455087050042,0.093,0.4166211109615279,0.8072044214055721,79.2,
nk3,6,1,hetero,0.2685191511595646,0.524,0.175086447450202,0.4660218207235305,79.0,
nk2,5,1,iso05,0.7196570029659997,0.108,0.6912121608162156,0.7944269222709148,97.0,
nk3,4,0,hd64,0.5585960278723642,0.028,0.2461568990922693,0.8072044214055721,83.5,
nk3,6,1,ar1,0.3009523470549469,0.374,0.1362615921126243,0.4660218207235305,156.5,0.2800761413187035
nk2,3,0,hetero,0.6445348123218603,0.777,0.4669530159080842,0.9619738010419872,95.6,
nk2,6,0,clean,0.6926549190084752,1.197,0.6827678890027968,0.6827678890027968,79.5,
nk3,4,1,iso15,0.5887443630771102,0.094,0.4812688066729392,0.8731258623475244,79.2,
nk2,3,0,ar1,0.7006889585368432,0.525,0.7074619243743385,0.9619738010419872,173.5,0.7104116306182866
nk2,6,0,iso05,0.6913032691460679,0.101,0.5104434194922759,0.6827678890027968,79.9,
nk3,4,1,hd64,0.6439661425379372,0.026,0.2354647515171661,0.8731258623475244,82.8,
nk2,3,1,clean,0.7966908704997764,1.451,0.9406612066203676,0.9406612066203676,98.5,
nk2,6,0,iso15,0.3876640197096148,0.085,0.3555488848110849,0.6827678890027968,80.7,
nk3,4,1,hetero,0.5503771202125174,0.714,0.3976677889413855,0.8731258623475244,80.9,
nk2,3,1,iso05,0.8516264920233837,0.127,0.9521070786013588,0.9406612066203676,184.9,
nk2,6,0,hd64,0.3629602317924963,0.028,0.2304053719576461,0.6827678890027968,175.7,
nk3,4,1,ar1,0.5380397406135532,0.4,0.2604630129064557,0.8731258623475244,246.3,0.5283575789683632
nk2,3,1,iso15,0.6212305417164731,0.106,0.6346484335763717,0.9406612066203676,95.6,
nk2,6,0,hetero,0.4705268280986691,0.52,0.4965200513521207,0.6827678890027968,78.1,
nk3,5,0,clean,0.71632714310812,1.132,0.5510663947897223,0.5510663947897223,78.6,
nk2,3,1,hd64,0.5613879571783433,0.027,0.2348980159425393,0.9406612066203676,93.8,
nk2,6,0,ar1,0.3292519646972032,0.356,0.3728299076991678,0.6827678890027968,154.4,0.3480028549270013
nk3,5,0,iso05,0.7245928132689834,0.111,0.5488149516909139,0.5510663947897223,78.7,
