profile,d,wseed,noise,nt,r_td5,cv,t
nk2,3,0,iso15,160,0.6638600242272621,0.1,87.8
nk2,3,0,ar1,160,0.602553475128875,0.481,77.0
nk2,4,0,clean,160,0.6563527679614725,1.46,77.0
nk2,3,0,iso15,320,0.711345814956237,0.101,80.7
nk2,3,0,ar1,320,0.6308051012328839,0.463,77.1
nk2,4,0,clean,320,0.7585634827004516,1.358,76.9
nk2,3,1,iso15,160,0.7843253452308387,0.109,87.3
nk2,3,1,ar1,160,0.7111013818964285,0.462,76.3
nk2,4,1,clean,160,0.7704590965645465,1.153,76.6
nk2,3,1,iso15,320,0.7632916823769847,0.098,80.1
nk2,3,1,ar1,320,0.7076783274440683,0.499,76.6
nk2,4,1,clean,320,0.6741515866880206,1.343,76.7
nk3,5,0,iso15,160,0.4777473126529457,0.08,81.1
nk3,5,0,ar1,160,0.3425088415849994,0.434,76.0
nk3,6,0,clean,160,0.7006849380205957,1.126,75.8
nk3,5,0,iso15,320,0.5238116894555525,0.08,81.3
nk3,5,0,ar1,320,0.4736909507839494,0.398,77.1
nk3,6,0,clean,320,0.7509686989793221,1.159,75.7
nk3,5,1,iso15,160,0.7600173469035654,0.081,82.5
nk3,5,1,ar1,160,0.6785905918034445,0.42,77.4
nk3,6,1,clean,160,0.704312972023501,0.946,76.7
nk3,5,1,iso15,320,0.6145752999822252,0.082,81.4
nk3,5,1,ar1,320,0.6647094842696984,0.371,77.7
nk3,6,1,clean,320,0.8178590806943462,1.049,76.1
nk2,6,0,iso15,160,0.5117434078399082,0.084,81.6
nk2,6,0,ar1,160,0.4179812651826187,0.39,76.5
nk2,6,0,iso05,160,0.763474509329533,0.1,75.8
nk2,6,0,iso15,320,0.5256416740514313,0.076,80.9
nk2,6,0,ar1,320,0.5166783072976018,0.351,76.8
nk2,6,0,iso05,320,0.7965520196799412,0.093,75.9
nk2,6,1,iso15,160,0.1392299921229407,0.074,82.7
nk2,6,1,ar1,160,0.2695613173610136,0.403,77.2
nk2,6,1,iso05,160,0.7037518135497289,0.088,76.4
nk2,6,1,iso15,320,0.2720485186178324,0.081,80.1
nk2,6,1,ar1,320,0.1555776590856056,0.391,75.7
nk2,6,1,iso05,320,0.7985695102414716,0.098,75.4
nk3,6,0,iso15,160,0.4642893800104211,0.075,81.4
nk3,6,0,ar1,160,0.3911476091051826,0.404,76.0
nk3,6,0,iso05,160,0.6061998875161598,0.093,76.4
nk3,6,0,iso15,320,0.5467519287601031,0.075,81.5
nk3,6,0,ar1,320,0.5026465660491092,0.367,77.5
nk3,6,0,iso05,320,0.789626684062235,0.096,76.5
nk3,6,1,iso15,160,0.2297225572361444,0.078,82.4
nk3,6,1,ar1,160,0.2136259504011018,0.389,76.9
nk3,6,1,iso05,160,0.6281726323265523,0.098,76.8
nk3,6,1,iso15,320,0.3403491146427851,0.081,81.7
nk3,6,1,ar1,320,0.2616586510812033,0.376,77.7
nk3,6,1,iso05,320,0.7831082163230816,0.099,76.9
nk2,3,0,hetero,160,0.5228109594061665,0.795,87.8
nk2,3,0,hd64,160,0.5877866015582454,0.027,78.7
nk2,3,0,hetero,320,0.6237136867249221,0.794,80.9
nk2,3,0,hd64,320,0.5194185766891994,0.024,76.9
nk2,3,1,hetero,160,0.5972478919910046,0.79,87.2
nk2,3,1,hd64,160,0.694593279633837,0.028,78.2
nk2,3,1,hetero,320,0.6897347051094802,0.831,80.9
nk2,3,1,hd64,320,0.7180926044389891,0.028,77.3
nk3,3,0,hetero,160,0.6692880158412271,0.795,86.8
nk3,3,0,hd64,160,0.6064564326775017,0.026,77.7
nk3,3,0,hetero,320,0.6979880896625379,0.729,83.2
nk3,3,0,hd64,320,0.7062412424862179,0.027,78.3
nk3,3,1,hetero,160,0.5661659435952038,0.763,88.3
nk3,3,1,hd64,160,0.6586048095422985,0.025,79.1
nk3,3,1,hetero,320,0.5784923474010633,0.804,81.4
nk3,3,1,hd64,320,0.5494052295474461,0.029,77.3
nk3,3,0,iso15,160,0.7071875597548467,0.105,86.8
nk3,3,0,ar1,160,0.6740377274092662,0.43,75.5
nk3,4,0,clean,160,0.8867917038246769,1.295,75.5
nk3,3,0,iso15,320,0.7785486417439307,0.099,80.7
nk3,3,0,ar1,320,0.7503565344365147,0.458,76.5
nk3,4,0,clean,320,0.8936077613620008,1.324,76.5
nk2,4,0,hetero,160,0.5900979219050054,0.677,86.8
nk2,4,0,hd64,160,0.4091377728803541,0.025,78.3
nk2,4,0,hetero,320,0.6793905845297677,0.7,81.1
nk2,4,0,hd64,320,0.5860562525047005,0.027,77.3
nk2,4,1,hetero,160,0.6654731954025201,0.627,88.1
nk2,4,1,hd64,160,0.5647623067370995,0.027,79.2
nk2,4,1,hetero,320,0.5647297211141108,0.678,80.9
nk2,4,1,hd64,320,0.3793269863300637,0.026,77.4
nk3,4,0,hetero,160,0.5658421500161577,0.706,86.6
nk3,4,0,hd64,160,0.5001011275788738,0.027,77.6
nk3,4,0,hetero,320,0.6884648658091629,0.65,82.8
nk3,4,0,hd64,320,0.527826091473967,0.026,78.6
nk3,4,1,hetero,160,0.6334985389067082,0.716,85.9
nk3,4,1,hd64,160,0.4968728475617823,0.027,77.4
nk3,4,1,hetero,320,0.563020365142396,0.666,81.3
nk3,4,1,hd64,320,0.6051506299239068,0.026,77.2
nk2,5,0,hetero,160,0.433915699979348,0.579,87.8
nk2,5,0,hd64,160,0.062579454413688,0.027,78.3
nk2,5,0,hetero,320,0.4043534745631889,0.59,80.2
nk2,5,0,hd64,320,0.4669271513794835,0.026,76.6
nk2,5,1,hetero,160,0.5945544407497408,0.658,87.2
nk2,5,1,hd64,160,0.3671767056237243,0.027,77.6
nk2,5,1,hetero,320,0.5552486468103602,0.625,82.0
nk2,5,1,hd64,320,0.55626454132034,0.027,77.9
nk3,5,0,hetero,160,0.294636789427068,0.608,88.0
nk3,5,0,hd64,160,0.2162183218150188,0.025,78.2
nk3,5,0,hetero,320,0.3847010325736477,0.613,82.4
nk3,5,0,hd64,320,0.580256783578362,0.027,78.1
nk3,5,1,hetero,160,0.501627147658694,0.576,86.3
nk3,5,1,hd64,160,0.2584796171237714,0.027,77.2
nk3,5,1,hetero,320,0.4406289089394459,0.579,82.7
nk3,5,1,hd64,320,0.3941745032357995,0.027,78.2
nk2,6,0,hetero,160,0.3274949287998684,0.526,86.1
nk2,6,0,hd64,160,0.4487487488860371,0.027,76.9
nk2,6,0,hetero,320,0.4937352874014171,0.543,80.2
nk2,6,0,hd64,320,0.2743154716988604,0.025,76.5
nk2,6,1,hetero,160,0.1725974460916355,0.54,86.9
nk2,6,1,hd64,160,0.2431374868549771,0.026,78.2
nk2,6,1,hetero,320,0.2112490536689857,0.507,81.1
nk2,6,1,hd64,320,0.2074966044738098,0.026,76.8
nk3,3,1,iso15,160,0.6134703492449487,0.101,88.0
nk3,3,1,ar1,160,0.5748192258212681,0.487,76.7
nk3,4,1,clean,160,0.8918228730146301,1.26,76.5
nk3,3,1,iso15,320,0.7036962491043326,0.095,80.9
nk3,3,1,ar1,320,0.6468631009710065,0.461,76.5
nk3,4,1,clean,320,0.8872210988012462,1.247,76.8
nk3,6,0,hetero,160,0.4358790772523264,0.486,87.6
nk3,6,0,hd64,160,0.4442008214715753,0.028,78.5
nk3,6,0,hetero,320,0.5822208249325229,0.506,80.9
nk3,6,0,hd64,320,0.399792060862433,0.026,76.7
nk3,6,1,hetero,160,0.172331413544668,0.508,86.0
nk3,6,1,hd64,160,0.2031538761385047,0.028,76.5
nk3,6,1,hetero,320,0.2791057375689798,0.496,82.7
nk3,6,1,hd64,320,0.2048445846655907,0.026,78.7
nk2,4,0,iso15,160,0.638337202631061,0.093,87.9
nk2,4,0,ar1,160,0.6241438109136382,0.412,76.7
nk2,5,0,clean,160,0.3808300898709732,1.104,77.0
nk2,4,0,iso15,320,0.6366072551346729,0.092,79.6
nk2,4,0,ar1,320,0.4979344521055617,0.445,76.1
nk2,5,0,clean,320,0.3214508082243204,1.082,76.3
nk2,4,1,iso15,160,0.6962625408931572,0.096,87.7
nk2,4,1,ar1,160,0.6548345976536061,0.415,76.4
nk2,5,1,clean,160,0.5230202049461776,1.203,76.3
nk2,4,1,iso15,320,0.6772638795680543,0.089,77.6
nk2,4,1,ar1,320,0.602010332345706,0.463,74.7
nk2,5,1,clean,320,0.3546976181271892,1.319,75.1
nk3,4,0,iso15,160,0.5209899886847016,0.088,88.0
nk3,4,0,ar1,160,0.4583641754661633,0.434,76.7
nk3,5,0,clean,160,0.7525071763519408,1.16,76.7
nk3,4,0,iso15,320,0.696349888254848,0.093,80.3
nk3,4,0,ar1,320,0.645864943744748,0.44,76.6
nk3,5,0,clean,320,0.8556230888875163,1.082,76.4
nk3,4,1,iso15,160,0.8060251616986227,0.096,85.7
nk3,4,1,ar1,160,0.7244606785621966,0.455,74.9
nk3,5,1,clean,160,0.7923723637903707,1.242,75.3
nk3,4,1,iso15,320,0.6712332478393389,0.091,80.7
nk3,4,1,ar1,320,0.5692612750110699,0.448,76.6
nk3,5,1,clean,320,0.8507982453109422,1.094,76.9
nk2,5,0,iso15,160,0.555850934966908,0.084,81.4
nk2,5,0,ar1,160,0.4414569228901883,0.437,76.3
nk2,6,0,clean,160,0.782544042206254,1.194,75.3
nk2,5,0,iso15,320,0.4090930144635266,0.082,80.5
nk2,5,0,ar1,320,0.3822034328759948,0.367,76.7
nk2,6,0,clean,320,0.7938448012731141,1.088,75.3
nk2,5,1,iso15,160,0.6305868710048494,0.085,81.2
nk2,5,1,ar1,160,0.5903602354435608,0.422,76.0
nk2,6,1,clean,160,0.7083492397492088,1.135,75.2
nk2,5,1,iso15,320,0.6272834264928906,0.082,80.0
nk2,5,1,ar1,320,0.5555455012078148,0.395,76.5
nk2,6,1,clean,320,0.7088858543622059,1.027,75.1
