profile,d,wseed,noise,arm,r,t
nk2,4,0,ar1,spec,0.2951392125267781,97.6
nk2,6,0,ar1,spec,0.3179165315065885,92.1
nk2,6,0,hetero,spec,0.2763636875884008,92.2
nk2,6,0,hd64,spec,0.4891587983992566,91.8
nk2,4,0,clean,spec,0.7089761542329744,91.1
nk2,4,0,ar1,eq,0.6503489402917573,95.1
nk2,6,0,ar1,eq,0.3236421230945756,101.7
nk2,6,0,hetero,eq,0.142000449531026,98.6
nk2,6,0,hd64,eq,0.2134642232440178,449.7
nk2,4,0,clean,eq,0.5752904327944732,84.6
nk3,4,1,ar1,eq,0.5366336093170186,93.7
nk3,6,1,ar1,eq,0.3089252914468929,99.8
nk3,6,1,hetero,eq,0.1701680913970723,97.0
nk3,6,1,hd64,eq,0.3071079697059534,459.3
nk3,4,1,clean,eq,0.8285172332741321,84.0
nk3,4,1,ar1,win,0.573304392288496,84.1
nk3,6,1,ar1,win,0.2906883625497042,77.7
nk3,6,1,hetero,win,0.3982421203596133,76.9
nk3,6,1,hd64,win,0.2364680824806042,89.0
nk3,4,1,clean,win,0.7431801667313018,76.6
nk2,5,0,ar1,spec,0.348025428857545,97.9
nk2,5,0,hetero,spec,0.4427756356519001,92.2
nk2,4,0,hd64,spec,0.6111688329854545,92.9
nk2,4,0,iso05,spec,0.6242956369786339,92.6
nk2,5,0,ar1,eq,0.6405401391010124,100.4
nk2,5,0,hetero,eq,0.2254475210226989,91.9
nk2,4,0,hd64,eq,0.3064647314232394,449.0
nk2,4,0,iso05,eq,0.5175413868890527,84.4
nk2,5,0,ar1,win,0.6429517034948169,84.1
nk2,5,0,hetero,win,0.6841237726396328,77.0
nk2,4,0,hd64,win,0.4703831442017284,85.1
nk2,4,0,iso05,win,0.5680353811561182,76.3
nk2,5,1,ar1,spec,0.328429595097562,97.8
nk2,5,1,hetero,spec,0.2710458342510737,91.9
nk2,4,1,hd64,spec,0.1730508576368356,92.4
nk2,4,1,iso05,spec,0.7998536358641233,91.7
nk2,5,1,ar1,eq,0.4934492534110809,98.3
nk2,5,1,hetero,eq,0.4074233677559942,92.4
nk2,4,1,hd64,eq,0.396646541177642,442.3
nk2,4,1,iso05,eq,0.7234752339126567,84.9
nk2,5,1,ar1,win,0.4851036159849371,82.2
nk2,5,1,hetero,win,0.6595686908004946,78.6
nk2,4,1,hd64,win,0.4637420897263786,86.9
nk2,4,1,iso05,win,0.6818698343643577,78.7
nk3,5,0,ar1,spec,0.2388346624488504,97.0
nk3,5,0,hetero,spec,0.2762249445305367,93.1
nk3,4,0,hd64,spec,0.4823083217408397,92.1
nk3,4,0,iso05,spec,0.8475782507688444,91.6
nk3,5,0,ar1,eq,0.4742925648767904,100.0
nk3,5,0,hetero,eq,0.4073499579629525,93.1
nk3,4,0,hd64,eq,0.2813651190722936,465.3
nk3,4,0,iso05,eq,0.7104734538240457,84.6
nk2,4,0,ar1,win,0.6559459647818279,83.3
nk2,6,0,ar1,win,0.2979196318498609,77.8
nk2,6,0,hetero,win,0.5639624236470043,78.3
nk2,6,0,hd64,win,0.3866904838631589,87.2
nk2,4,0,clean,win,0.5544525965465068,78.0
nk3,5,0,ar1,win,0.4653185294244042,82.2
nk3,5,0,hetero,win,0.5817635605630402,78.4
nk3,4,0,hd64,win,0.4944646305715325,80.2
nk3,4,0,iso05,win,0.6799944372472075,76.6
nk3,5,1,ar1,spec,0.1012344841024236,97.1
nk3,5,1,hetero,spec,0.2235365639199925,92.9
nk3,4,1,hd64,spec,0.2373374228164195,94.5
nk3,4,1,iso05,spec,0.8856730498129103,91.6
nk3,5,1,ar1,eq,0.3546176653938572,98.7
nk3,5,1,hetero,eq,0.3367279548201066,93.0
nk3,4,1,hd64,eq,0.4113865831938153,450.5
nk3,4,1,iso05,eq,0.7399382255376505,84.8
nk3,5,1,ar1,win,0.3224095853499268,82.5
nk3,5,1,hetero,win,0.5256614260746276,78.7
nk3,4,1,hd64,win,0.7008418271377401,80.3
nk3,4,1,iso05,win,0.7270985944843996,76.8
nk2,4,1,ar1,spec,0.2279156893792628,100.1
nk2,6,1,ar1,spec,0.0450738075590195,93.7
nk2,6,1,hetero,spec,0.1194836090548711,94.2
nk2,6,1,hd64,spec,0.3979684780310408,92.5
nk2,4,1,clean,spec,0.7239031184444092,91.2
nk2,4,1,ar1,eq,0.4458734931468511,95.1
nk2,6,1,ar1,eq,0.2006516359367484,100.8
nk2,6,1,hetero,eq,0.1845046316651096,99.0
nk2,6,1,hd64,eq,0.1404217341928002,452.3
nk2,4,1,clean,eq,0.6228893982929254,83.8
nk2,4,1,ar1,win,0.4537153608883765,84.0
nk2,6,1,ar1,win,0.1975664634111345,78.4
nk2,6,1,hetero,win,0.3125468519568917,78.5
nk2,6,1,hd64,win,0.0418185651485894,83.9
nk2,4,1,clean,win,0.5629856455848261,76.9
nk3,4,0,ar1,spec,0.2630026760932473,98.7
nk3,6,0,ar1,spec,0.144000720584986,92.4
nk3,6,0,hetero,spec,0.3264940496014006,92.8
nk3,6,0,hd64,spec,0.2957978081457225,93.5
nk3,4,0,clean,spec,0.8922781369386967,91.4
nk3,4,0,ar1,eq,0.6141335556359575,96.8
nk3,6,0,ar1,eq,0.3392519936444444,102.3
nk3,6,0,hetero,eq,0.0342747332238104,99.8
nk3,6,0,hd64,eq,0.1553373348876257,451.7
nk3,4,0,clean,eq,0.676212640460291,84.1
nk3,4,0,ar1,win,0.5982549921701916,83.3
nk3,6,0,ar1,win,0.3601789125187841,76.6
nk3,6,0,hetero,win,0.4431643106893533,76.5
nk3,6,0,hd64,win,0.2036237182616399,87.8
nk3,4,0,clean,win,0.5609872885648042,76.0
nk3,4,1,ar1,spec,0.0959472169022393,99.2
nk3,6,1,ar1,spec,0.2261436052340307,92.2
nk3,6,1,hetero,spec,0.1380187506514248,91.0
nk3,6,1,hd64,spec,0.2861216051391747,91.2
nk3,4,1,clean,spec,0.840674543067701,91.4
