cell,config,profile,d,wseed,noise,r,jit,t
0,base,nk2,3,0,clean,0.4965833635655854,0.1106075905644015,53.9
3,base,nk2,4,0,hetero,0.4279174241958018,0.2120154111109805,38.3
0,nug,nk2,3,0,clean,0.4867368960625155,0.1103653923077863,54.7
3,nug,nk2,4,0,hetero,0.3038750094301927,0.0805564686974519,38.5
1,nug_ann,nk2,4,1,clean,0.4981245919372326,0.1119633163545449,55.6
4,nug_ann,nk3,4,1,ar1,0.596548715708189,0.2350284001646234,39.7
1,nug_cf,nk2,4,1,clean,0.413757478387199,0.11233735057572,53.6
4,nug_cf,nk3,4,1,ar1,0.5761889014298115,0.2339685705126419,37.3
1,full,nk2,4,1,clean,0.4739274681038558,0.11233735057572,54.3
4,full,nk3,4,1,ar1,0.5720063368784118,0.2339685705126419,38.3
1,full_l3,nk2,4,1,clean,0.4557435317594101,0.11233735057572,79.7
4,full_l3,nk3,4,1,ar1,0.5322635544122705,0.2339685705126419,60.8
1,lkn,nk2,4,1,clean,0.090685315976078,,57.4
4,lkn,nk3,4,1,ar1,0.3984124047257327,,40.5
1,ceiling,nk2,4,1,clean,0.747857910464911,,1.2
4,ceiling,nk3,4,1,ar1,0.6688240954836953,,0.9
2,base,nk3,4,0,iso15,0.4426527884075444,0.2788339330510874,54.4
5,base,nk2,4,0,hd64,0.3621531747374066,0.5811806073534184,39.4
2,nug,nk3,4,0,iso15,0.4526266221222434,0.1029235760610902,54.3
5,nug,nk2,4,0,hd64,0.5301262954360555,0.1387995395612761,39.0
2,nug_ann,nk3,4,0,iso15,0.4528609836592029,0.1029235760610902,55.0
5,nug_ann,nk2,4,0,hd64,0.5618643420865419,0.1453646307308516,40.1
2,nug_cf,nk3,4,0,iso15,0.4649251843317975,0.1096814290778517,53.6
5,nug_cf,nk2,4,0,hd64,0.450479406826933,0.1284835417700219,38.4
0,nug_ann,nk2,3,0,clean,0.3322870023702187,0.1103653923077863,55.6
3,nug_ann,nk2,4,0,hetero,0.2934941640586934,0.0805564686974519,39.8
2,full,nk3,4,0,iso15,0.4671826230475333,0.1096814290778517,54.3
5,full,nk2,4,0,hd64,0.3693277476527568,0.1300958190080038,39.5
2,full_l3,nk3,4,0,iso15,0.4819545415327548,0.1096814290778517,79.3
5,full_l3,nk2,4,0,hd64,0.3515047941742816,0.1299801430978301,61.6
2,lkn,nk3,4,0,iso15,0.3235243643432235,,56.7
5,lkn,nk2,4,0,hd64,0.3760702447253289,,40.9
2,ceiling,nk3,4,0,iso15,0.6832745689830632,,1.0
5,ceiling,nk2,4,0,hd64,0.7865007791790737,,0.9
0,nug_cf,nk2,3,0,clean,0.469100930351802,0.1102990612439707,53.0
3,nug_cf,nk2,4,0,hetero,0.2954350041910715,0.0814321206721217,37.7
0,full,nk2,3,0,clean,0.2919858420277333,0.1102990612439707,53.8
3,full,nk2,4,0,hetero,0.2841049487855879,0.0814321206721217,38.2
0,full_l3,nk2,3,0,clean,0.2125288537240354,0.1102990612439707,80.0
3,full_l3,nk2,4,0,hetero,0.2943104603057467,0.0814321206721217,62.0
0,lkn,nk2,3,0,clean,0.2658230319719943,,56.5
3,lkn,nk2,4,0,hetero,0.3721714991584561,,40.3
0,ceiling,nk2,3,0,clean,0.7860434959995489,,0.9
3,ceiling,nk2,4,0,hetero,0.7865007791790737,,0.9
1,base,nk2,4,1,clean,0.4327904631318364,0.1125811158228988,53.7
4,base,nk3,4,1,ar1,0.5906549662062477,0.2401727672498328,38.3
1,nug,nk2,4,1,clean,0.4299168821235288,0.1119633163545449,55.6
4,nug,nk3,4,1,ar1,0.5916147874367126,0.2350284001646234,38.4
