profile,d,wseed,noise,gamma_c,r_sent_bin,r_sent_knn,r_td,t_td,r_fbsent
nk2,3,0,clean,0.9333,0.7779118984093913,0.7860434959995501,0.2511487921488661,52.0,0.3012932203454577
nk2,5,0,clean,0.8889,0.7259101046905754,0.6825331262870725,0.5288068380893496,42.8,0.5694583984918349
nk3,4,0,clean,0.9111,0.6347171023945155,0.6832745689830608,0.5071233786098936,38.1,0.7662789158267242
nk2,3,0,iso05,0.9333,0.7561936621007812,0.7771914547372789,0.3342584494874475,52.0,0.4873834053183342
nk2,5,0,iso05,0.8889,0.5233759586036207,0.6047389045896319,0.5859849274874265,42.5,0.6193851050783776
nk3,4,0,iso05,0.9111,0.640410324774713,0.6504621502681867,0.6375278817088863,38.0,0.721034476800446
nk2,3,1,hetero,0.9333,0.2486847939534066,0.49273310246477,0.2440430276669264,41.7,0.0962090901566798
nk2,5,1,hetero,0.8889,0.1713922318130416,0.503678301411275,0.2345924419342082,37.2,0.2341014859472018
nk3,4,1,hetero,0.9111,0.2506363744293076,0.5241077399043657,0.3821643753982223,37.2,0.3237580835292216
nk2,3,1,ar1,0.9333,0.6670887690684628,0.5931848104105601,0.5639774081843735,42.4,0.6837585998547039
nk2,5,1,ar1,0.8889,0.262342817421931,0.3563178272624026,0.3168584127264096,37.5,0.0995079384020612
nk3,4,1,ar1,0.9111,0.6029226028452251,0.4527925646266365,0.4827054206109882,37.1,0.5586916960265034
nk2,4,0,clean,0.9111,0.6641847543948098,0.786500779179074,0.3527640044147514,43.0,0.6500230728417409
nk3,3,0,clean,0.9333,0.8761737988299249,0.9091913870764992,0.5412105340028942,38.3,0.7201874654087683
nk3,5,0,clean,0.8889,0.5914491378819046,0.5915559856105335,0.5447701830301843,38.3,0.5810822701942456
nk2,4,0,iso05,0.9111,0.6870388587142314,0.6325184957598597,0.5410005342393596,42.5,0.5981833698585614
nk3,3,0,iso05,0.9333,0.8661849574201046,0.8512915807527857,0.7143370286877216,37.5,0.8136454970735257
nk3,5,0,iso05,0.8889,0.5752247102968155,0.5998650306670154,0.5665212160032204,37.2,0.6112520339516947
nk2,4,0,iso15,0.9111,0.4309113539009215,0.2868207092256534,0.3636049106010468,42.3,0.2630250623759326
nk3,3,0,iso15,0.9333,0.7809030580765196,0.6158401174907676,0.7145273566605823,37.3,0.783606458663542
nk3,5,0,iso15,0.8889,0.4829784271263733,0.4429329312256846,0.5665413056946806,37.2,0.4672208353495413
nk2,4,0,hd64,0.9111,0.3800062078927939,0.2745719928860625,0.4382925447299127,40.2,-0.1876651264706405
nk3,3,0,hd64,0.9333,0.3581284269662012,0.3227522608918081,0.5369004064801766,37.3,0.0915795253368348
nk3,5,0,hd64,0.8889,0.2251842921495205,0.2854411556583701,0.3863484765786438,36.9,-0.1090643335854403
nk2,4,0,hetero,0.9111,0.2817791305972619,0.413862200740367,0.2845842620553153,45.2,0.2115731386486178
nk3,3,0,hetero,0.9333,0.3753386654348589,0.625833625236766,0.4604853865650083,38.4,0.386974408492619
nk3,5,0,hetero,0.8889,0.2518201773291336,0.5880421290868418,0.2844242174907895,37.9,0.2004048160573865
nk2,4,0,ar1,0.9111,0.4337812616353087,0.2719555739224534,0.2571364151652611,45.1,0.3008434895957936
nk3,3,0,ar1,0.9333,0.6948548141777576,0.6178379205742095,0.5982493695512722,37.5,0.6734365421466728
nk3,5,0,ar1,0.8889,0.4719025655521922,0.5503021607115268,0.5875999564235658,37.2,0.4870721988731705
nk2,4,1,clean,0.9111,0.6659612097596947,0.6904922294612216,0.4722227143227029,45.9,0.6324708004000877
nk3,3,1,clean,0.9333,0.8423760492593514,0.8536175454515658,0.3959216146748379,38.9,0.7283112709042402
nk3,5,1,clean,0.8889,0.589290244470072,0.4454177096258769,0.4986169682671512,38.7,0.6934557813597244
nk2,4,1,iso05,0.9111,0.719577732079633,0.7104670620231155,0.4903944877441255,45.5,0.686500404769542
nk3,3,1,iso05,0.9333,0.8058195242055038,0.7801076104756316,0.7316316817647421,38.2,0.8264487928343615
nk3,5,1,iso05,0.8889,0.6799751258629607,0.5528053034906221,0.5484687498904721,37.7,0.6813801127528446
nk2,3,0,iso15,0.9333,0.749685541870448,0.650999470150464,0.7099897374459403,42.8,0.6698780510856177
nk2,5,0,iso15,0.8889,0.6567108651075192,0.5305192899576678,0.5627054174127999,38.2,0.4622520349361412
nk3,4,0,iso15,0.9111,0.3804874478169032,0.3818446533563762,0.4468277634758807,38.2,0.440513804749893
nk2,4,1,iso15,0.9111,0.2719142815439412,0.4156114521798694,0.5642503108058177,45.1,0.395938526588711
nk3,3,1,iso15,0.9333,0.4810623982764436,0.5445651498068997,0.5831208597291203,37.7,0.6441720689661663
nk3,5,1,iso15,0.8889,0.4029306203582806,0.2938334267651458,0.4454844454446105,37.7,0.2541289509081026
nk2,4,1,hd64,0.9111,0.3740610656559209,0.1266115964776992,0.159842851131674,42.1,-0.0857217911326362
nk3,3,1,hd64,0.9333,0.2306767480092132,0.3285960913359886,0.5554674197476512,37.6,-0.2451270829582356
nk3,5,1,hd64,0.8889,0.1693802027785306,0.1281609342010911,0.3165092010624019,37.2,0.0564218127707943
nk2,4,1,hetero,0.9111,0.2402016742210049,0.5044027104075006,0.2884133871040818,45.9,0.2579510982743114
nk3,3,1,hetero,0.9333,0.0571861706309407,0.3229710947098683,0.2404763973539436,38.9,0.0936480197629499
nk3,5,1,hetero,0.8889,0.2279300867075485,0.3848296772065996,0.2950674550843543,38.6,0.2446045064537085
nk2,4,1,ar1,0.9111,0.450826474625697,0.4168697727246754,0.5255072805934602,45.0,0.5076152296625743
nk3,3,1,ar1,0.9333,0.555267110358407,0.6015108129830222,0.5902539724642435,37.9,0.5747890974710717
nk3,5,1,ar1,0.8889,0.2898423503169864,0.2973719728643428,0.4660366462247231,37.7,0.0761718021227272
nk2,3,0,hd64,0.9333,0.2819429228106044,0.3773015609316398,0.3799319995712021,40.7,0.3230347853218191
nk2,5,0,hd64,0.8889,0.0994160471310882,0.0772455191831487,0.1079403347637834,38.0,0.0713757867749215
nk3,4,0,hd64,0.9111,0.2222726087325325,0.251377585398589,0.4149563513863744,37.5,-0.0099512104557922
nk2,3,0,hetero,0.9333,0.3007618185786602,0.4322508680177848,0.3856193711675645,42.4,0.2862729758769609
nk2,5,0,hetero,0.8889,0.3475784144385497,0.5651768209827568,0.3742555855467139,38.1,0.3736652208585223
nk3,4,0,hetero,0.9111,0.2812696433375027,0.3760082262826021,0.4037979151535508,36.3,0.3324211303951381
nk2,3,0,ar1,0.9333,0.652067068516285,0.5886318222299871,0.5542601643538139,42.4,0.5011064517335113
nk2,5,0,ar1,0.8889,0.4956490213605315,0.4115176217290109,0.3930678107592309,37.9,0.3017445153545977
