profile,d,wseed,noise,gamma_c,r_sent_bin,r_sent_knn,r_td,t_td,r_fbsent,r_tdaug,r_a,r_b,r_ceiling,r_td3,r_td3_2x,r_sent2x,r_ceil2x
nk2,3,0,clean,0.9333,0.7779118984093913,0.7860434959995501,0.2511487921488661,52.0,0.3012932203454577,0.4965833635655854,0.3322870023702187,0.513403730841701,0.7860434959995489,0.4933838428460103,0.6728849532298644,0.9145480726684946,0.9145480726684946
nk2,5,0,clean,0.8889,0.7259101046905754,0.6825331262870725,0.5288068380893496,42.8,0.5694583984918349,0.666628692453427,0.6274481025338285,0.6667759627781871,0.6825331262870673,0.6676850883155294,0.4504031399509794,0.7530515249878078,0.7530515249878078
nk3,4,0,clean,0.9111,0.6347171023945155,0.6832745689830608,0.5071233786098936,38.1,0.7662789158267242,0.7429256076476023,0.6743195821819246,0.7362262057156161,0.6832745689830632,0.7447025021784357,0.6766339119182302,0.6700258121187717,0.6700258121187717
nk2,3,0,iso05,0.9333,0.7561936621007812,0.7771914547372789,0.3342584494874475,52.0,0.4873834053183342,0.5718018791382373,0.3778622896124722,0.5856232112929342,0.7860434959995489,0.5527532801692626,0.8189453859325503,0.9206750794084164,0.9145480726684946
nk2,5,0,iso05,0.8889,0.5233759586036207,0.6047389045896319,0.5859849274874265,42.5,0.6193851050783776,0.6826924786473161,0.6360599836514127,0.6905327374853691,0.6825331262870673,0.6754828015632175,0.6614824632118705,0.6557030771482124,0.7530515249878078
nk3,4,0,iso05,0.9111,0.640410324774713,0.6504621502681867,0.6375278817088863,38.0,0.721034476800446,0.7497274669034195,0.7162288068483719,0.7494844679174715,0.6832745689830632,0.7474371253017392,0.7817124352271756,0.6643330901877728,0.6700258121187717
nk2,3,1,hetero,0.9333,0.2486847939534066,0.49273310246477,0.2440430276669264,41.7,0.0962090901566798,0.5414972678049224,0.2832702467711639,0.5294779737328108,0.9122468842496378,0.3959618862985607,0.4302976988591879,0.4818070057812969,0.9152624043298304
nk2,5,1,hetero,0.8889,0.1713922318130416,0.503678301411275,0.2345924419342082,37.2,0.2341014859472018,0.4947362664800671,0.2548120165085893,0.4946532323465507,0.7730363714606707,0.3272220863069797,0.1279705268693554,0.2923548134279589,0.7564734676777547
nk3,4,1,hetero,0.9111,0.2506363744293076,0.5241077399043657,0.3821643753982223,37.2,0.3237580835292216,0.6040816146241343,0.4271372871516853,0.601809057487114,0.6688240954836953,0.5109899225201187,0.4506614315927819,0.4247421449032902,0.7271929426951927
nk2,3,1,ar1,0.9333,0.6670887690684628,0.5931848104105601,0.5639774081843735,42.4,0.6837585998547039,0.6516138302892116,0.6089664880405179,0.6521490545824892,0.9122468842496378,0.6532618940474724,0.593741001054265,0.6014461812698404,0.9152624043298304
nk2,5,1,ar1,0.8889,0.262342817421931,0.3563178272624026,0.3168584127264096,37.5,0.0995079384020612,0.4426188499342285,0.3325249947384612,0.4442542223965034,0.7730363714606707,0.4414642943515129,0.4915655789798019,0.4489267740827718,0.7564734676777547
nk3,4,1,ar1,0.9111,0.6029226028452251,0.4527925646266365,0.4827054206109882,37.1,0.5586916960265034,0.5906549662062477,0.596548715708189,0.5796800926216845,0.6688240954836953,0.5904880960140644,0.5368461696635635,0.2627380302406907,0.7271929426951927
nk2,4,0,clean,0.9111,0.6641847543948098,0.786500779179074,0.3527640044147514,43.0,0.6500230728417409,0.3530099627524862,0.3606899323611129,0.3782003939953231,0.7865007791790737,0.3574156661494851,0.5797364266872636,0.8381605682209048,0.8381605682209048
nk3,3,0,clean,0.9333,0.8761737988299249,0.9091913870764992,0.5412105340028942,38.3,0.7201874654087683,0.8398676914529553,0.7637821897088772,0.8233432960089817,0.9091913870764998,0.8367100233435112,0.8313533075039481,0.916018673178032,0.916018673178032
nk3,5,0,clean,0.8889,0.5914491378819046,0.5915559856105335,0.5447701830301843,38.3,0.5810822701942456,0.6306050142213564,0.6581933938908835,0.6041234562221375,0.5915559856105361,0.6359352067394435,0.7156026133494644,0.5740795875460479,0.5740795875460479
nk2,4,0,iso05,0.9111,0.6870388587142314,0.6325184957598597,0.5410005342393596,42.5,0.5981833698585614,0.6086626520254196,0.5320519095330705,0.5759507666423461,0.7865007791790737,0.5886590117945197,0.6740120309073773,0.8158031281942315,0.8381605682209048
nk3,3,0,iso05,0.9333,0.8661849574201046,0.8512915807527857,0.7143370286877216,37.5,0.8136454970735257,0.829067865860557,0.7879156170495978,0.8077066644075999,0.9091913870764998,0.8240964642775543,0.8613669892686892,0.8814721637085328,0.916018673178032
nk3,5,0,iso05,0.8889,0.5752247102968155,0.5998650306670154,0.5665212160032204,37.2,0.6112520339516947,0.6592534559609357,0.6372726116332814,0.6529783692320439,0.5915559856105361,0.6487723639595147,0.7245928132689834,0.5729933204966027,0.5740795875460479
nk2,4,0,iso15,0.9111,0.4309113539009215,0.2868207092256534,0.3636049106010468,42.3,0.2630250623759326,0.3910992225918333,0.3737489649413029,0.3942110812339565,0.7865007791790737,0.391799073188059,0.6057097822286167,0.5887260754089484,0.8381605682209048
nk3,3,0,iso15,0.9333,0.7809030580765196,0.6158401174907676,0.7145273566605823,37.3,0.783606458663542,0.7060740571906932,0.7209502728140138,0.7044387564637051,0.9091913870764998,0.7193523313729882,0.6207940852192346,0.5540378840532572,0.916018673178032
nk3,5,0,iso15,0.8889,0.4829784271263733,0.4429329312256846,0.5665413056946806,37.2,0.4672208353495413,0.5661000286400072,0.57089520976633,0.5836138222339473,0.5915559856105361,0.5652006977380171,0.5459016762302016,0.3423848395620529,0.5740795875460479
nk2,4,0,hd64,0.9111,0.3800062078927939,0.2745719928860625,0.4382925447299127,40.2,-0.1876651264706405,0.4030461554864454,0.2951615419712776,0.4116569704781345,0.7865007791790737,0.4761121506676309,0.4578237654413263,0.3339904200180373,0.8381605682209048
nk3,3,0,hd64,0.9333,0.3581284269662012,0.3227522608918081,0.5369004064801766,37.3,0.0915795253368348,0.4906513703291796,0.5219607466975477,0.5403731577822796,0.9091913870764998,0.5741160153674578,0.4715716388330992,0.3952870335784161,0.916018673178032
nk3,5,0,hd64,0.8889,0.2251842921495205,0.2854411556583701,0.3863484765786438,36.9,-0.1090643335854403,0.3919937855854848,0.3641345416592062,0.3011383748444932,0.5915559856105361,0.3644207218765515,0.4541816540535278,0.2951096589194654,0.5740795875460479
nk2,4,0,hetero,0.9111,0.2817791305972619,0.413862200740367,0.2845842620553153,45.2,0.2115731386486178,0.4279174241958018,0.2934941640586934,0.4132854722536164,0.7865007791790737,0.3261380673348392,0.4269851987568096,0.6193590686401299,0.8381605682209048
nk3,3,0,hetero,0.9333,0.3753386654348589,0.625833625236766,0.4604853865650083,38.4,0.386974408492619,0.7271648376755382,0.513086735935783,0.7212620035974027,0.9091913870764998,0.5984069727590483,0.6100857372739517,0.5269447136895623,0.916018673178032
nk3,5,0,hetero,0.8889,0.2518201773291336,0.5880421290868418,0.2844242174907895,37.9,0.2004048160573865,0.6136910559922497,0.3470350381166549,0.6197084790067231,0.5915559856105361,0.4785916326771591,0.1617342763730324,0.4366709918753686,0.5740795875460479
nk2,4,0,ar1,0.9111,0.4337812616353087,0.2719555739224534,0.2571364151652611,45.1,0.3008434895957936,0.3339868201491441,0.2955750588789834,0.3437380192549855,0.7865007791790737,0.3348219638520253,0.6595037499604619,0.518357503970766,0.8381605682209048
nk3,3,0,ar1,0.9333,0.6948548141777576,0.6178379205742095,0.5982493695512722,37.5,0.6734365421466728,0.6520299646477795,0.6323695490354974,0.6758058056759932,0.9091913870764998,0.6506677442428157,0.5877486719261587,0.6078869517705421,0.916018673178032
nk3,5,0,ar1,0.8889,0.4719025655521922,0.5503021607115268,0.5875999564235658,37.2,0.4870721988731705,0.5487584076759888,0.5864298339187095,0.5556704683291689,0.5915559856105361,0.5487350861726367,0.4692142503806424,0.2846376120150111,0.5740795875460479
nk2,4,1,clean,0.9111,0.6659612097596947,0.6904922294612216,0.4722227143227029,45.9,0.6324708004000877,0.4327904631318364,0.4981245919372326,0.4197176792153805,0.747857910464911,0.4346954527170631,0.6299984011536384,0.7767865152982019,0.7767865152982019
nk3,3,1,clean,0.9333,0.8423760492593514,0.8536175454515658,0.3959216146748379,38.9,0.7283112709042402,0.7694383993307208,0.6478199496476137,0.799627124051066,0.8522710443621764,0.7690940247573743,0.8482190810434416,0.8446484718583707,0.8446484718583707
nk3,5,1,clean,0.8889,0.589290244470072,0.4454177096258769,0.4986169682671512,38.7,0.6934557813597244,0.7933285815121558,0.6715269560393625,0.7778087631094808,0.5410538433298556,0.7885315072899881,0.7508976703822909,0.5689562225756377,0.5689562225756377
nk2,4,1,iso05,0.9111,0.719577732079633,0.7104670620231155,0.4903944877441255,45.5,0.686500404769542,0.5627148943651037,0.4993325533414458,0.5796201106450019,0.747857910464911,0.5371649542177553,0.8112803590553557,0.7045884019307644,0.7767865152982019
nk3,3,1,iso05,0.9333,0.8058195242055038,0.7801076104756316,0.7316316817647421,38.2,0.8264487928343615,0.8108500314705617,0.7748682921938146,0.8176941635648622,0.8522710443621764,0.8089765740257602,0.8545933385368489,0.8069818231738981,0.8446484718583707
nk3,5,1,iso05,0.8889,0.6799751258629607,0.5528053034906221,0.5484687498904721,37.7,0.6813801127528446,0.7782968652126201,0.6704777255316982,0.7781414655851169,0.5410538433298556,0.7747422769662409,0.7235686867271424,0.54897905202806,0.5689562225756377
nk2,3,0,iso15,0.9333,0.749685541870448,0.650999470150464,0.7099897374459403,42.8,0.6698780510856177,0.7515550326059488,0.7013420577172198,0.7563492636297928,0.7860434959995489,0.7144243250043503,0.7788784904435182,0.7035425922708719,0.9145480726684946
nk2,5,0,iso15,0.8889,0.6567108651075192,0.5305192899576678,0.5627054174127999,38.2,0.4622520349361412,0.5986947295628597,0.5659903276385464,0.5855246937643792,0.6825331262870673,0.5819040372306865,0.540923329404112,0.5310510953711092,0.7530515249878078
nk3,4,0,iso15,0.9111,0.3804874478169032,0.3818446533563762,0.4468277634758807,38.2,0.440513804749893,0.4426527884075444,0.4528609836592029,0.4427881129006084,0.6832745689830632,0.4522312933885076,0.6529455087050042,0.5154499159788988,0.6700258121187717
nk2,4,1,iso15,0.9111,0.2719142815439412,0.4156114521798694,0.5642503108058177,45.1,0.395938526588711,0.5617602259018165,0.5842096226637341,0.5800127250348541,0.747857910464911,0.5894120943643293,0.4686925542865554,0.4026889048620167,0.7767865152982019
nk3,3,1,iso15,0.9333,0.4810623982764436,0.5445651498068997,0.5831208597291203,37.7,0.6441720689661663,0.5849897806808594,0.5821301073346783,0.6037111873033951,0.8522710443621764,0.5798203013738782,0.7233129735864579,0.6219771187566392,0.8446484718583707
nk3,5,1,iso15,0.8889,0.4029306203582806,0.2938334267651458,0.4454844454446105,37.7,0.2541289509081026,0.4229024996676581,0.4459947893790953,0.4496502451671614,0.5410538433298556,0.4429498719395585,0.3499180513366828,0.4121713315939503,0.5689562225756377
nk2,4,1,hd64,0.9111,0.3740610656559209,0.1266115964776992,0.159842851131674,42.1,-0.0857217911326362,0.3329204391552786,0.2499734741251039,0.3701389137444853,0.747857910464911,0.4546104133416812,0.6557584174621202,0.4016527873022602,0.7767865152982019
nk3,3,1,hd64,0.9333,0.2306767480092132,0.3285960913359886,0.5554674197476512,37.6,-0.2451270829582356,0.1979411331166548,0.7118121090639012,0.5489422206039177,0.8522710443621764,0.5587664645027157,0.6190427095291142,0.3951922502749665,0.8446484718583707
nk3,5,1,hd64,0.8889,0.1693802027785306,0.1281609342010911,0.3165092010624019,37.2,0.0564218127707943,0.0245432628607535,0.432227610611042,0.1977486163663566,0.5410538433298556,0.4541207113800869,0.4591662038691798,0.0969102280822894,0.5689562225756377
nk2,4,1,hetero,0.9111,0.2402016742210049,0.5044027104075006,0.2884133871040818,45.9,0.2579510982743114,0.5374852411789495,0.3100952264958286,0.5617319262282783,0.747857910464911,0.3622078872365262,0.3890196831750998,0.4563275481199997,0.7767865152982019
nk3,3,1,hetero,0.9333,0.0571861706309407,0.3229710947098683,0.2404763973539436,38.9,0.0936480197629499,0.4850938568882395,0.3070645445276181,0.4719071597931994,0.8522710443621764,0.3891963886664138,0.4333792821895165,0.4298973681021462,0.8446484718583707
nk3,5,1,hetero,0.8889,0.2279300867075485,0.3848296772065996,0.2950674550843543,38.6,0.2446045064537085,0.49226374659945,0.3167791737113121,0.4811409828353496,0.5410538433298556,0.3790129879306549,0.1471812054545129,0.3363202620667599,0.5689562225756377
nk2,4,1,ar1,0.9111,0.450826474625697,0.4168697727246754,0.5255072805934602,45.0,0.5076152296625743,0.5321902372185398,0.5679825589619667,0.4961141967573427,0.747857910464911,0.5286105610856422,0.452184029298349,0.4755612176283493,0.7767865152982019
nk3,3,1,ar1,0.9333,0.555267110358407,0.6015108129830222,0.5902539724642435,37.9,0.5747890974710717,0.562662635476574,0.574556673504812,0.5697437869034787,0.8522710443621764,0.5628253276980539,0.6118424713648776,0.5405868659926614,0.8446484718583707
nk3,5,1,ar1,0.8889,0.2898423503169864,0.2973719728643428,0.4660366462247231,37.7,0.0761718021227272,0.4490036702770113,0.4486642251075999,0.4948199105761627,0.5410538433298556,0.4500246595031539,0.361560881089251,0.2527293887085304,0.5689562225756377
nk2,3,0,hd64,0.9333,0.2819429228106044,0.3773015609316398,0.3799319995712021,40.7,0.3230347853218191,0.4054793865668872,0.2695683874347603,0.4692142900434827,0.7860434959995489,0.4971052926732338,0.6600266969143901,0.5368621753442243,0.9145480726684946
nk2,5,0,hd64,0.8889,0.0994160471310882,0.0772455191831487,0.1079403347637834,38.0,0.0713757867749215,0.1665613980942033,0.5326282966851331,0.2218058110160378,0.6825331262870673,0.5437824124117555,0.5533594450679793,0.2685556320434812,0.7530515249878078
nk3,4,0,hd64,0.9111,0.2222726087325325,0.251377585398589,0.4149563513863744,37.5,-0.0099512104557922,0.0862735242589434,0.6018288812612487,0.0219912547891706,0.6832745689830632,0.5606645284379864,0.3878092188361342,0.1827607098403533,0.6700258121187717
nk2,3,0,hetero,0.9333,0.3007618185786602,0.4322508680177848,0.3856193711675645,42.4,0.2862729758769609,0.5436454446896717,0.3977434518197666,0.5371235891630193,0.7860434959995489,0.4712970714758234,0.5249413502710301,0.5467662745209241,0.9145480726684946
nk2,5,0,hetero,0.8889,0.3475784144385497,0.5651768209827568,0.3742555855467139,38.1,0.3736652208585223,0.6109678202206626,0.403633800128696,0.6215602563810668,0.6825331262870673,0.4704015702410763,0.4185564563946228,0.6015752343924399,0.7530515249878078
nk3,4,0,hetero,0.9111,0.2812696433375027,0.3760082262826021,0.4037979151535508,36.3,0.3324211303951381,0.5190118170208505,0.4275994290402569,0.4983936303177204,0.6832745689830632,0.4673400651390115,0.4229242823430523,0.4547620026493181,0.6700258121187717
