profile,d,wseed,noise,r_tdaug,jit,t
nk2,3,0,clean,0.4965833635655854,0.1106,50.8
nk2,5,0,clean,0.666628692453427,0.1121,39.1
nk3,4,0,clean,0.7429256076476023,0.1139,39.0
nk2,3,0,iso05,0.5718018791382373,0.1374,50.3
nk2,5,0,iso05,0.6826924786473161,0.1471,37.9
nk3,4,0,iso05,0.7497274669034195,0.1444,38.0
nk2,3,1,hetero,0.5414972678049224,0.1967,50.4
nk2,5,1,hetero,0.4947362664800671,0.2193,38.8
nk3,4,1,hetero,0.6040816146241343,0.2087,38.8
nk2,3,1,ar1,0.6516138302892116,0.2303,51.1
nk2,5,1,ar1,0.4426188499342285,0.2448,39.6
nk3,4,1,ar1,0.5906549662062477,0.2402,39.5
nk2,4,0,clean,0.3530099627524862,0.1137,51.1
nk3,3,0,clean,0.8398676914529553,0.1136,39.5
nk3,5,0,clean,0.6306050142213564,0.1151,39.3
nk2,4,0,iso05,0.6086626520254196,0.1416,50.5
nk3,3,0,iso05,0.829067865860557,0.1381,38.7
nk3,5,0,iso05,0.6592534559609357,0.1482,38.6
nk2,4,0,iso15,0.3910992225918333,0.2774,50.3
nk3,3,0,iso15,0.7060740571906932,0.2575,38.8
nk3,5,0,iso15,0.5661000286400072,0.2974,38.9
nk2,4,0,hd64,0.4030461554864454,0.5801,49.7
nk3,3,0,hd64,0.4906513703291796,0.581,39.6
nk3,5,0,hd64,0.3919937855854848,0.5808,39.5
nk2,4,0,hetero,0.4279174241958018,0.212,50.9
nk3,3,0,hetero,0.7271648376755382,0.2011,38.8
nk3,5,0,hetero,0.6136910559922497,0.2161,38.8
nk2,4,0,ar1,0.3339868201491441,0.2377,50.5
nk3,3,0,ar1,0.6520299646477795,0.2281,38.3
nk3,5,0,ar1,0.5487584076759888,0.2453,38.2
nk2,4,1,clean,0.4327904631318364,0.1126,50.7
nk3,3,1,clean,0.7694383993307208,0.1138,38.8
nk3,5,1,clean,0.7933285815121558,0.1139,38.6
nk2,4,1,iso05,0.5627148943651037,0.1431,50.7
nk3,3,1,iso05,0.8108500314705617,0.1382,38.8
nk3,5,1,iso05,0.7782968652126201,0.1485,38.7
nk2,3,0,iso15,0.7515550326059488,0.2594,50.5
nk2,5,0,iso15,0.5986947295628597,0.2985,38.4
nk3,4,0,iso15,0.4426527884075444,0.2788,38.4
nk2,4,1,iso15,0.5617602259018165,0.2807,50.8
nk3,3,1,iso15,0.5849897806808594,0.258,38.8
nk3,5,1,iso15,0.4229024996676581,0.3004,38.8
nk2,4,1,hd64,0.3329204391552786,0.5842,48.9
nk3,3,1,hd64,0.1979411331166548,0.5827,38.4
nk3,5,1,hd64,0.0245432628607535,0.5794,38.3
nk2,4,1,hetero,0.5374852411789495,0.2178,50.6
nk3,3,1,hetero,0.4850938568882395,0.2022,38.3
nk3,5,1,hetero,0.49226374659945,0.2253,38.3
nk2,4,1,ar1,0.5321902372185398,0.2398,50.8
nk3,3,1,ar1,0.562662635476574,0.2308,38.8
nk3,5,1,ar1,0.4490036702770113,0.245,38.7
nk2,3,0,hd64,0.4054793865668872,0.5838,49.2
nk2,5,0,hd64,0.1665613980942033,0.5816,38.9
nk3,4,0,hd64,0.0862735242589434,0.5797,38.9
nk2,3,0,hetero,0.5436454446896717,0.1982,50.9
nk2,5,0,hetero,0.6109678202206626,0.2222,39.0
nk3,4,0,hetero,0.5190118170208505,0.2168,38.9
nk2,3,0,ar1,0.6595523060455052,0.2279,50.4
nk2,5,0,ar1,0.4933701835300048,0.2447,38.2
nk3,4,0,ar1,0.3750622281287812,0.2371,38.1
nk2,3,1,clean,0.7296251181653848,0.112,50.5
nk2,5,1,clean,0.627158719432443,0.1131,38.3
nk3,4,1,clean,0.6700673727653408,0.1146,38.3
nk2,3,1,iso05,0.7615322667854216,0.1373,50.8
nk2,5,1,iso05,0.7452981419318692,0.1464,39.0
nk3,4,1,iso05,0.6954902969478558,0.144,39.1
nk2,3,1,iso15,0.6754809620255106,0.2571,50.8
nk2,5,1,iso15,0.626673866136193,0.2978,39.4
nk3,4,1,iso15,0.6134378044948927,0.2819,39.2
nk2,3,1,hd64,0.4570649693915666,0.5812,49.2
nk2,5,1,hd64,0.415590833019979,0.581,39.2
nk3,4,1,hd64,0.201978434843563,0.5811,39.0
